VBELN,FKART,FKDAT,REF_SO,KUNNR,NETWR,WAERK,STATUS
9000000068,F2,2025-08-09,4500000072,0000100137,230.58,USD,Posted
9000000069,F2,2024-10-16,4500000073,0000100034,354.06,USD,Posted
9000000070,F2,2024-09-18,4500000074,0000100028,1149.6,USD,Posted
9000000071,F2,2026-07-07,4500000075,0000100196,3893.04,USD,Posted
9000000072,F2,2026-09-01,4500000076,0000100025,1334.46,USD,Posted
9000000073,F2,2024-12-18,4500000077,0000100102,2405.7,USD,Posted
9000000074,F2,2026-03-08,4500000078,0000100149,939.47,USD,Posted
9000000075,F2,2026-09-12,4500000079,0000100040,1640.86,USD,Posted
9000000076,F2,2026-07-11,4500000080,0000100020,1561.71,USD,Posted
9000000077,F2,2026-06-24,4500000081,0000100089,728.16,USD,Posted
9000000078,G2,2025-05-23,4500000082,0000100063,-497.84,USD,Posted
9000000079,F2,2026-02-23,4500000083,0000100133,1028.63,USD,Posted
9000000080,F2,2025-09-14,4500000084,0000100128,330.74,USD,Posted
9000000081,F2,2026-08-03,4500000085,0000100084,302.82,USD,Posted
9000000082,F2,2026-02-11,4500000086,0000100041,1390.17,USD,Posted
9000000083,F2,2026-05-28,4500000087,0000100130,1722.27,USD,Posted
9000000084,F2,2026-06-04,4500000088,0000100049,474.92,USD,Posted
9000000085,F2,2025-06-26,4500000089,0000100066,1310.45,USD,Posted
9000000086,G2,2026-02-20,4500000090,0000100141,-49.99,USD,Posted
9000000087,F2,2024-11-22,4500000091,0000100058,2050.05,USD,Posted
9000000088,F2,2025-02-15,4500000092,0000100147,3090.11,USD,Posted
9000000089,G2,2026-07-31,4500000093,0000100038,-162.65,USD,Posted
9000000090,F2,2025-07-07,4500000094,0000100036,1307.53,USD,Posted
9000000091,F2,2026-02-01,4500000095,0000100031,587.44,USD,Posted
9000000092,F2,2025-11-10,4500000096,0000100064,1144.6,USD,Posted
9000000093,F2,2025-03-27,4500000097,0000100006,341.47,USD,Posted
9000000094,F2,2026-07-19,4500000099,0000100166,2169.93,USD,Posted
9000000095,F2,2025-05-11,4500000100,0000100150,2117.77,USD,Posted
9000000096,F2,2025-01-28,4500000102,0000100057,4960.08,USD,Posted
9000000097,F2,2025-01-27,4500000103,0000100155,3026.18,USD,Posted
9000000098,F2,2026-05-17,4500000104,0000100113,351.77,USD,Posted
9000000099,F2,2026-02-17,4500000105,0000100034,1827.99,USD,Posted
9000000100,F2,2026-08-22,4500000106,0000100157,374.2,USD,Posted
9000000101,F2,2026-08-17,4500000108,0000100121,1364.63,USD,Posted
9000000102,F2,2025-02-23,4500000109,0000100138,1539.88,USD,Posted
9000000103,F2,2025-01-31,4500000110,0000100102,148.05,USD,Posted
9000000104,F2,2025-02-20,4500000111,0000100045,2010.15,USD,Posted
9000000105,F2,2025-06-27,4500000112,0000100136,40.08,USD,Posted
9000000106,F2,2025-02-26,4500000114,0000100014,3229.77,USD,Posted
9000000107,F2,2025-08-15,4500000115,0000100154,664.46,USD,Posted
9000000108,F2,2024-10-30,4500000116,0000100057,7516.93,USD,Posted
9000000109,F2,2024-10-05,4500000117,0000100061,40.84,USD,Posted
9000000110,F2,2025-12-09,4500000119,0000100142,2897.57,USD,Posted
9000000111,F2,2025-09-27,4500000120,0000100168,2568.95,USD,Posted
9000000112,F2,2026-07-18,4500000121,0000100081,496.81,USD,Posted
9000000113,F2,2026-06-06,4500000122,0000100184,2039.7,USD,Posted
9000000114,F2,2025-11-11,4500000124,0000100011,403.2,USD,Posted
9000000115,F2,2025-03-25,4500000125,0000100048,1102.94,USD,Posted
9000000116,F2,2024-12-18,4500000126,0000100054,4670.51,USD,Posted
9000000117,F2,2026-03-30,4500000127,0000100173,2671.85,USD,Posted
9000000118,F2,2025-01-05,4500000128,0000100040,10618.26,USD,Posted
9000000119,F2,2024-09-22,4500000129,0000100074,964.44,USD,Posted
9000000120,F2,2026-02-09,4500000130,0000100005,2059.53,USD,Posted
9000000121,F2,2024-12-20,4500000131,0000100103,2889.45,USD,Posted
9000000122,G2,2025-12-15,4500000132,0000100190,-57.57,USD,Posted
9000000123,F2,2025-02-12,4500000133,0000100172,530.18,USD,Posted
9000000124,F2,2025-07-22,4500000134,0000100130,2110.83,USD,Posted
9000000125,F2,2024-09-29,4500000135,0000100068,7125.36,USD,Posted
9000000126,F2,2025-06-18,4500000136,0000100048,152.79,USD,Posted
9000000127,G2,2025-05-13,4500000137,0000100014,-84.93,USD,Posted
9000000128,F2,2025-03-29,4500000138,0000100136,1666.35,USD,Posted
9000000129,F2,2025-11-10,4500000140,0000100039,338.12,USD,Posted
9000000130,F2,2026-02-08,4500000141,0000100082,5450.05,USD,Posted
9000000131,F2,2025-02-09,4500000142,0000100095,389.84,USD,Posted
9000000132,F2,2025-03-30,4500000144,0000100071,11884.46,USD,Posted
9000000133,G2,2026-02-08,4500000145,0000100136,-392.76,USD,Posted
9000000134,F2,2025-04-06,4500000146,0000100183,928.55,USD,Posted
9000000135,F2,2026-01-03,4500000147,0000100111,3861.37,USD,Posted
9000000136,F2,2026-02-13,4500000149,0000100049,6568.76,USD,Posted
9000000137,F2,2024-12-26,4500000150,0000100187,2882.19,USD,Posted
9000000138,F2,2025-02-26,4500000151,0000100197,802.48,USD,Posted
9000000139,F2,2026-03-02,4500000152,0000100129,59.74,USD,Posted
9000000140,G2,2025-08-31,4500000153,0000100106,-796.99,USD,Posted
9000000141,F2,2026-01-01,4500000154,0000100028,7432.32,USD,Posted
9000000142,F2,2025-04-12,4500000155,0000100063,3842.62,USD,Posted
9000000143,F2,2026-01-15,4500000156,0000100192,215.27,USD,Posted
9000000144,F2,2025-04-24,4500000157,0000100068,1772.91,USD,Posted
9000000145,F2,2025-09-06,4500000158,0000100117,1689.51,USD,Posted
9000000146,G2,2025-08-05,4500000159,0000100153,-1263.26,USD,Posted
9000000147,F2,2026-07-15,4500000160,0000100182,4436.34,USD,Posted
9000000148,F2,2026-03-19,4500000161,0000100114,1448.4,USD,Posted
9000000149,F2,2025-10-24,4500000162,0000100062,2569.57,USD,Posted
9000000150,F2,2026-05-25,4500000163,0000100153,2156.05,USD,Posted
9000000151,F2,2025-12-05,4500000164,0000100144,497.12,USD,Posted
9000000152,F2,2026-02-25,4500000165,0000100086,1573.39,USD,Posted
9000000153,F2,2025-10-03,4500000166,0000100155,3850.86,USD,Posted
9000000154,F2,2025-11-11,4500000167,0000100003,3624.34,USD,Posted
9000000155,F2,2025-02-17,4500000168,0000100180,3690.24,USD,Posted
9000000156,F2,2026-07-30,4500000169,0000100022,5401.81,USD,Posted
9000000157,F2,2025-12-29,4500000170,0000100081,1171.94,USD,Posted
9000000158,F2,2026-05-06,4500000171,0000100175,1439.33,USD,Posted
9000000159,F2,2025-12-06,4500000172,0000100173,861.94,USD,Posted
9000000160,F2,2024-10-06,4500000173,0000100080,1552.15,USD,Posted
9000000161,F2,2024-12-04,4500000174,0000100011,2740.4,USD,Posted
9000000162,G2,2026-06-22,4500000175,0000100059,-25.06,USD,Posted
9000000163,F2,2026-02-13,4500000176,0000100117,4971.8,USD,Posted
9000000164,F2,2026-07-08,4500000177,0000100059,2937.07,USD,Posted
9000000165,F2,2026-07-04,4500000178,0000100104,930.12,USD,Posted
9000000166,F2,2025-03-07,4500000179,0000100055,274.52,USD,Posted
9000000167,F2,2026-09-07,4500000180,0000100145,2176.25,USD,Posted
9000000168,F2,2025-12-08,4500000181,0000100140,2524.5,USD,Posted
9000000169,F2,2026-03-01,4500000182,0000100115,825.93,USD,Posted
9000000170,F2,2025-10-02,4500000183,0000100002,540.73,USD,Posted
9000000171,S1,2025-03-24,4500000184,0000100089,4357.28,USD,Cancelled
9000000172,F2,2025-09-07,4500000185,0000100116,184.2,USD,Posted
9000000173,F2,2025-08-20,4500000186,0000100094,2513.62,USD,Posted
9000000174,F2,2025-04-21,4500000187,0000100046,2994.86,USD,Posted
9000000175,F2,2025-05-26,4500000188,0000100083,2567.15,USD,Posted
9000000176,F2,2025-08-03,4500000189,0000100045,3637.23,USD,Posted
9000000177,F2,2025-03-28,4500000190,0000100010,4084.78,USD,Posted
9000000178,F2,2024-12-26,4500000191,0000100072,997.36,USD,Posted
9000000179,F2,2026-04-30,4500000192,0000100125,968.24,USD,Posted
9000000180,F2,2025-06-07,4500000193,0000100138,4181.15,USD,Posted
9000000181,F2,2025-06-09,4500000194,0000100005,1676.7,USD,Posted
9000000182,F2,2026-04-14,4500000195,0000100042,340.29,USD,Posted
9000000183,F2,2026-02-06,4500000196,0000100079,1243.56,USD,Posted
9000000184,F2,2025-08-09,4500000197,0000100123,2222.06,USD,Posted
9000000185,F2,2025-05-04,4500000198,0000100041,5601.34,USD,Posted
9000000186,F2,2026-04-24,4500000199,0000100184,1224.08,USD,Posted
9000000187,F2,2025-03-11,4500000200,0000100181,2934.62,USD,Posted
9000000188,F2,2025-08-23,4500000201,0000100148,1113.88,USD,Posted
9000000189,F2,2025-06-17,4500000202,0000100056,862.2,USD,Posted
9000000190,F2,2025-11-27,4500000205,0000100056,19828.11,USD,Posted
9000000191,S1,2025-10-05,4500000206,0000100186,1902.13,USD,Cancelled
9000000192,F2,2024-10-22,4500000207,0000100038,793.15,USD,Posted
9000000193,F2,2025-01-25,4500000208,0000100081,1533.87,USD,Posted
9000000194,S1,2026-06-24,4500000209,0000100057,80.5,USD,Cancelled
9000000195,F2,2026-04-14,4500000210,0000100171,789.75,USD,Posted
9000000196,F2,2025-02-18,4500000211,0000100179,623.0,USD,Posted
9000000197,F2,2025-01-23,4500000212,0000100081,882.67,USD,Posted
9000000198,F2,2026-08-01,4500000213,0000100062,2488.16,USD,Posted
9000000199,F2,2025-11-22,4500000214,0000100181,1530.39,USD,Posted
9000000200,F2,2026-02-23,4500000215,0000100000,3098.84,USD,Posted
9000000201,F2,2026-07-14,4500000216,0000100129,3425.8,USD,Posted
9000000202,F2,2025-03-25,4500000217,0000100068,3045.96,USD,Posted
9000000203,F2,2025-09-14,4500000218,0000100199,3583.38,USD,Posted
9000000204,F2,2026-07-18,4500000219,0000100097,875.2,USD,Posted
9000000205,F2,2025-01-29,4500000220,0000100161,4780.67,USD,Posted
9000000206,F2,2025-03-20,4500000221,0000100062,4475.21,USD,Posted
9000000207,F2,2026-06-26,4500000222,0000100185,1198.89,USD,Posted
9000000208,F2,2026-05-25,4500000223,0000100162,2453.35,USD,Posted
9000000209,F2,2025-09-30,4500000224,0000100156,5290.25,USD,Posted
9000000210,F2,2024-12-23,4500000225,0000100062,4299.16,USD,Posted
9000000211,F2,2026-05-20,4500000226,0000100181,6529.48,USD,Posted
9000000212,F2,2025-04-29,4500000227,0000100073,1871.38,USD,Posted
9000000213,F2,2026-03-21,4500000228,0000100036,508.05,USD,Posted
9000000214,F2,2025-03-22,4500000229,0000100008,3492.1,USD,Posted
9000000215,F2,2025-01-04,4500000230,0000100182,2107.73,USD,Posted
9000000216,F2,2026-02-04,4500000231,0000100035,1417.32,USD,Posted
9000000217,F2,2025-06-28,4500000232,0000100065,2811.02,USD,Posted
9000000218,F2,2025-06-18,4500000233,0000100052,4993.38,USD,Posted
9000000219,F2,2025-08-07,4500000234,0000100148,9148.79,USD,Posted
9000000220,F2,2025-08-17,4500000235,0000100045,713.84,USD,Posted
9000000221,F2,2025-08-28,4500000236,0000100198,1201.58,USD,Posted
9000000222,F2,2026-01-04,4500000237,0000100111,2584.74,USD,Posted
9000000223,F2,2024-12-06,4500000238,0000100027,444.96,USD,Posted
9000000224,F2,2026-01-25,4500000239,0000100177,732.84,USD,Posted
9000000225,F2,2025-09-08,4500000240,0000100144,21.36,USD,Posted
9000000226,F2,2026-05-11,4500000241,0000100134,416.47,USD,Posted
9000000227,F2,2025-04-16,4500000242,0000100024,2208.47,USD,Posted
9000000228,F2,2026-01-14,4500000243,0000100094,876.0,USD,Posted
9000000229,F2,2025-02-16,4500000244,0000100112,5411.59,USD,Posted
9000000230,F2,2026-02-09,4500000245,0000100130,2566.84,USD,Posted
9000000231,F2,2026-01-29,4500000246,0000100139,5405.22,USD,Posted
9000000232,F2,2025-10-22,4500000247,0000100025,222.54,USD,Posted
9000000233,S1,2025-09-03,4500000248,0000100078,275.69,USD,Cancelled
9000000234,F2,2026-08-10,4500000249,0000100116,1743.68,USD,Posted
9000000235,F2,2025-06-06,4500000250,0000100177,878.59,USD,Posted
9000000236,F2,2024-11-18,4500000251,0000100199,2662.6,USD,Posted
9000000237,F2,2025-05-14,4500000252,0000100180,1623.81,USD,Posted
9000000238,F2,2024-10-16,4500000253,0000100138,1231.31,USD,Posted
9000000239,F2,2026-07-02,4500000254,0000100155,194.22,USD,Posted
9000000240,F2,2026-05-19,4500000255,0000100117,2158.5,USD,Posted
9000000241,G2,2025-01-30,4500000256,0000100021,-869.63,USD,Posted
9000000242,F2,2025-12-20,4500000257,0000100039,4267.27,USD,Posted
9000000243,F2,2025-02-13,4500000258,0000100051,951.82,USD,Posted
9000000244,F2,2026-06-04,4500000259,0000100031,1604.41,USD,Posted
9000000245,F2,2025-07-19,4500000260,0000100098,146.21,USD,Posted
9000000246,F2,2024-11-01,4500000261,0000100078,2212.96,USD,Posted
9000000247,F2,2025-12-22,4500000262,0000100048,700.35,USD,Posted
9000000248,F2,2024-11-19,4500000263,0000100157,578.0,USD,Posted
9000000249,F2,2026-07-05,4500000264,0000100051,862.88,USD,Posted
9000000250,F2,2026-07-30,4500000265,0000100065,5006.96,USD,Posted
9000000251,F2,2025-12-12,4500000266,0000100045,493.97,USD,Posted
9000000252,F2,2025-03-11,4500000267,0000100058,7614.52,USD,Posted
9000000253,F2,2026-04-05,4500000268,0000100167,147.12,USD,Posted
9000000254,F2,2024-10-12,4500000269,0000100079,415.87,USD,Posted
9000000255,F2,2024-12-09,4500000270,0000100001,3658.41,USD,Posted
9000000256,G2,2025-04-25,4500000271,0000100083,-452.72,USD,Posted
9000000257,F2,2024-11-09,4500000272,0000100038,1261.52,USD,Posted
9000000258,F2,2026-06-15,4500000273,0000100188,910.38,USD,Posted
9000000259,F2,2026-01-20,4500000274,0000100184,5845.5,USD,Posted
9000000260,F2,2026-04-28,4500000275,0000100018,5716.46,USD,Posted
9000000261,F2,2026-01-08,4500000276,0000100137,32.4,USD,Posted
9000000262,F2,2025-02-25,4500000277,0000100184,700.35,USD,Posted
9000000263,F2,2025-04-08,4500000278,0000100037,37.51,USD,Posted
9000000264,F2,2025-12-05,4500000279,0000100176,824.31,USD,Posted
9000000265,F2,2025-12-18,4500000281,0000100091,2816.81,USD,Posted
9000000266,F2,2025-05-08,4500000282,0000100121,2631.85,USD,Posted
9000000267,F2,2026-04-24,4500000283,0000100132,955.08,USD,Posted
9000000268,F2,2025-07-11,4500000284,0000100021,1869.59,USD,Posted
9000000269,S1,2025-12-21,4500000285,0000100112,2042.91,USD,Cancelled
9000000270,F2,2026-06-02,4500000286,0000100026,7069.88,USD,Posted
9000000271,S1,2026-01-18,4500000287,0000100101,6324.54,USD,Cancelled
9000000272,F2,2025-11-23,4500000289,0000100119,353.16,USD,Posted
9000000273,F2,2025-02-10,4500000290,0000100110,1642.74,USD,Posted
9000000274,F2,2025-07-31,4500000291,0000100045,580.8,USD,Posted
9000000275,F2,2025-09-09,4500000293,0000100126,2184.41,USD,Posted
9000000276,F2,2024-09-30,4500000294,0000100025,1254.9,USD,Posted
9000000277,F2,2026-05-06,4500000295,0000100044,501.36,USD,Posted
9000000278,F2,2025-01-05,4500000296,0000100144,3170.82,USD,Posted
9000000279,F2,2024-10-08,4500000297,0000100143,4789.8,USD,Posted
9000000280,F2,2025-11-13,4500000298,0000100086,810.59,USD,Posted
9000000281,F2,2026-03-31,4500000299,0000100020,2658.88,USD,Posted
9000000282,F2,2024-12-10,4500000300,0000100134,1985.84,USD,Posted
9000000283,F2,2025-08-17,4500000302,0000100127,9753.43,USD,Posted
9000000284,F2,2024-12-12,4500000303,0000100162,5042.75,USD,Posted
9000000285,F2,2025-12-21,4500000304,0000100139,799.45,USD,Posted
9000000286,F2,2025-03-18,4500000305,0000100092,1631.86,USD,Posted
9000000287,F2,2026-02-05,4500000306,0000100099,6093.36,USD,Posted
9000000288,F2,2025-09-20,4500000307,0000100053,68.46,USD,Posted
9000000289,F2,2025-10-05,4500000308,0000100003,830.12,USD,Posted
9000000290,F2,2025-03-05,4500000309,0000100046,4633.77,USD,Posted
9000000291,F2,2026-03-26,4500000310,0000100106,4120.46,USD,Posted
9000000292,G2,2024-09-24,4500000311,0000100122,-250.52,USD,Posted
9000000293,F2,2025-05-04,4500000312,0000100156,1970.99,USD,Posted
9000000294,F2,2024-11-28,4500000313,0000100012,1782.33,USD,Posted
9000000295,F2,2024-11-18,4500000314,0000100192,974.07,USD,Posted
9000000296,F2,2024-09-23,4500000315,0000100072,1051.9,USD,Posted
9000000297,F2,2025-10-02,4500000316,0000100178,1159.36,USD,Posted
9000000298,F2,2024-11-10,4500000317,0000100062,894.18,USD,Posted
9000000299,F2,2024-12-11,4500000318,0000100111,1859.29,USD,Posted
9000000300,F2,2025-07-27,4500000319,0000100149,3567.66,USD,Posted
9000000301,G2,2026-01-30,4500000320,0000100131,-131.31,USD,Posted
9000000302,F2,2025-02-09,4500000321,0000100120,2503.05,USD,Posted
9000000303,F2,2026-01-07,4500000322,0000100184,1006.67,USD,Posted
9000000304,F2,2025-10-26,4500000323,0000100110,3136.46,USD,Posted
9000000305,F2,2026-07-23,4500000324,0000100069,1212.8,USD,Posted
9000000306,F2,2026-05-03,4500000325,0000100081,1925.53,USD,Posted
9000000307,F2,2026-09-11,4500000326,0000100160,5754.09,USD,Posted
9000000308,G2,2025-06-04,4500000327,0000100198,-306.12,USD,Posted
9000000309,F2,2026-06-27,4500000328,0000100008,1588.74,USD,Posted
9000000310,F2,2025-05-10,4500000329,0000100140,1483.1,USD,Posted
9000000311,F2,2025-04-08,4500000330,0000100175,101.85,USD,Posted
9000000312,F2,2025-07-28,4500000331,0000100102,2018.91,USD,Posted
9000000313,F2,2024-09-30,4500000332,0000100022,6614.16,USD,Posted
9000000314,F2,2026-02-25,4500000333,0000100078,2168.8,USD,Posted
9000000315,G2,2024-11-20,4500000334,0000100181,-252.17,USD,Posted
9000000316,F2,2025-12-05,4500000335,0000100123,45.32,USD,Posted
9000000317,F2,2024-10-30,4500000336,0000100122,1767.1,USD,Posted
9000000318,F2,2025-07-27,4500000337,0000100102,1166.74,USD,Posted
9000000319,F2,2025-03-20,4500000338,0000100040,5116.48,USD,Posted
9000000320,F2,2026-08-11,4500000339,0000100102,3060.3,USD,Posted
9000000321,G2,2025-04-22,4500000340,0000100134,-360.75,USD,Posted
9000000322,F2,2025-06-04,4500000341,0000100023,2383.88,USD,Posted
9000000323,F2,2025-04-26,4500000342,0000100064,926.56,USD,Posted
9000000324,F2,2024-12-17,4500000343,0000100034,23.1,USD,Posted
9000000325,F2,2025-12-30,4500000344,0000100119,1336.09,USD,Posted
9000000326,F2,2025-04-26,4500000345,0000100157,2665.15,USD,Posted
9000000327,F2,2025-04-06,4500000346,0000100080,1408.3,USD,Posted
9000000328,F2,2025-05-05,4500000347,0000100126,732.69,USD,Posted
9000000329,F2,2025-06-05,4500000348,0000100018,11465.78,USD,Posted
9000000330,F2,2026-04-17,4500000349,0000100158,1642.89,USD,Posted
9000000331,F2,2025-02-22,4500000350,0000100134,1465.4,USD,Posted
9000000332,F2,2024-12-15,4500000351,0000100050,491.95,USD,Posted
9000000333,F2,2025-05-18,4500000352,0000100042,5524.93,USD,Posted
9000000334,F2,2025-11-09,4500000353,0000100083,720.0,USD,Posted
9000000335,F2,2025-04-13,4500000354,0000100116,1332.07,USD,Posted
9000000336,S1,2024-12-09,4500000355,0000100175,74.8,USD,Cancelled
9000000337,F2,2025-06-06,4500000356,0000100174,1650.13,USD,Posted
9000000338,F2,2026-08-19,4500000357,0000100189,2674.09,USD,Posted
9000000339,F2,2026-07-01,4500000358,0000100199,1610.48,USD,Posted
9000000340,F2,2025-08-09,4500000359,0000100181,262.0,USD,Posted
9000000341,F2,2025-07-27,4500000360,0000100032,3947.67,USD,Posted
9000000342,F2,2025-01-24,4500000361,0000100012,601.92,USD,Posted
9000000343,S1,2026-01-20,4500000362,0000100065,911.52,USD,Cancelled
9000000344,F2,2026-02-25,4500000363,0000100091,110.25,USD,Posted
9000000345,F2,2025-03-21,4500000364,0000100045,811.37,USD,Posted
9000000346,F2,2025-12-17,4500000365,0000100062,277.7,USD,Posted
9000000347,F2,2024-11-30,4500000366,0000100085,216.99,USD,Posted
9000000348,F2,2025-05-08,4500000367,0000100105,4070.71,USD,Posted
9000000349,F2,2025-04-14,4500000368,0000100088,306.6,USD,Posted
9000000350,F2,2026-04-21,4500000369,0000100123,1540.85,USD,Posted
9000000351,F2,2025-12-13,4500000370,0000100080,1563.56,USD,Posted
9000000352,F2,2025-09-24,4500000371,0000100026,1589.83,USD,Posted
9000000353,F2,2025-08-02,4500000372,0000100143,671.52,USD,Posted
9000000354,F2,2025-09-05,4500000374,0000100113,5056.12,USD,Posted
9000000355,F2,2025-03-25,4500000375,0000100020,2734.84,USD,Posted
9000000356,G2,2026-05-20,4500000376,0000100078,-2185.29,USD,Posted
9000000357,F2,2026-04-25,4500000377,0000100174,4469.53,USD,Posted
9000000358,F2,2025-06-29,4500000378,0000100086,967.64,USD,Posted
9000000359,F2,2025-07-07,4500000379,0000100158,523.05,USD,Posted
9000000360,F2,2026-07-29,4500000380,0000100017,601.71,USD,Posted
9000000361,G2,2024-10-02,4500000381,0000100163,-54.52,USD,Posted
9000000362,G2,2026-03-30,4500000382,0000100181,-615.61,USD,Posted
9000000363,F2,2025-01-16,4500000383,0000100067,99.26,USD,Posted
9000000364,F2,2025-02-06,4500000384,0000100134,2549.55,USD,Posted
9000000365,F2,2025-05-30,4500000385,0000100000,145.95,USD,Posted
9000000366,S1,2025-12-14,4500000386,0000100010,8877.6,USD,Cancelled
9000000367,F2,2025-05-07,4500000387,0000100126,652.86,USD,Posted
9000000368,F2,2025-09-27,4500000388,0000100176,1950.26,USD,Posted
9000000369,F2,2025-09-27,4500000389,0000100190,2300.1,USD,Posted
9000000370,F2,2026-07-20,4500000390,0000100146,1900.11,USD,Posted
9000000371,F2,2025-11-13,4500000391,0000100157,2236.62,USD,Posted
9000000372,F2,2025-04-02,4500000392,0000100084,2000.52,USD,Posted
9000000373,F2,2025-12-24,4500000393,0000100100,4939.43,USD,Posted
9000000374,F2,2025-10-30,4500000394,0000100034,168.74,USD,Posted
9000000375,F2,2025-04-25,4500000395,0000100110,1019.17,USD,Posted
9000000376,F2,2026-02-25,4500000396,0000100081,1357.8,USD,Posted
9000000377,F2,2024-09-21,4500000397,0000100046,1516.14,USD,Posted
