KUNNR,NAME1,LAND1,ORT01,PSTLZ,REGIO,KTOKD,INDUSTRY,ERDAT
0000100047,"Wilson, Lam and Lee",AU,Lake Ryanhaven,71076,,Z001,Utilities,2024-10-06
0000100048,"Mclaughlin, Gonzalez and Reynolds",CN,Cindyville,94840,,Z001,Automotive,2026-01-10
0000100049,"Parker, Ortiz and Powell",US,Angelaborough,55609,TN,Z001,Chemicals,2026-04-08
0000100050,"Adkins, Thompson and Carroll",GB,Kelleytown,40330,,Z001,Automotive,2022-05-26
0000100051,Floyd-Lawson,AE,Stevenmouth,89056,,Z001,High Tech,2021-12-19
0000100052,Leon-Moyer,FR,Lake Christopher,68062,,Z001,Retail,2024-08-18
0000100053,"Rogers, Cardenas and Potter",DE,Jeffreyborough,19814,,Z002,High Tech,2020-11-04
0000100054,Riggs PLC,FR,South Robertshire,25986,,Z001,Industrial Manufacturing,2024-12-14
0000100055,Snyder-Sanchez,US,Port Michelleville,56225,IN,Z002,Utilities,2021-09-28
0000100056,"Holmes, Williams and Wright",US,South Dennismouth,88001,NC,Z002,Utilities,2026-07-19
0000100057,"Stewart, Fischer and Ramos",GB,Rivasside,58947,,Z003,Industrial Manufacturing,2026-01-04
0000100058,"Hensley, Cole and Walton",FR,Katiehaven,64018,,Z001,Automotive,2024-05-30
0000100059,Gonzales-Reeves,US,West Matthew,71299,CO,Z001,Consumer Goods,2021-07-09
0000100060,Reyes and Sons,IN,North Robert,43870,,Z002,Consumer Goods,2023-11-30
0000100061,Brown-Wall,CN,Steinshire,91664,,Z002,Pharma,2020-10-25
0000100062,"James, Smith and Bell",IN,Castanedachester,71046,,Z001,Automotive,2025-02-15
0000100063,"Marsh, Hurst and Freeman",DE,Ryantown,51469,,Z001,Utilities,2022-09-09
0000100064,"Yates, Ramsey and Pittman",US,New Amanda,52146,OR,Z001,Logistics,2024-01-16
0000100065,Miller Group,US,Port Steven,07091,KS,Z001,Life Sciences,2022-12-11
0000100066,Gibson LLC,US,Ramirezchester,33566,MP,Z002,Life Sciences,2021-03-09
0000100067,Curry Inc,ZA,Jeffreyland,85927,,Z001,Automotive,2020-12-09
0000100068,Herring and Sons,US,New Elijahberg,62571,TN,Z001,Retail,2021-05-18
0000100069,Marshall LLC,NL,Garyville,21966,,Z002,Logistics,2026-05-30
0000100070,Lane LLC,US,Sandersborough,10462,OR,Z002,Consumer Goods,2024-10-15
0000100071,"Sanchez, Terry and Turner",MX,Port Tonyaton,46009,,Z001,Automotive,2023-11-08
0000100072,"Wood, Hunter and Peterson",IN,Shortville,57323,,Z001,Utilities,2026-05-22
0000100073,"Snow, Stevens and Hernandez",BR,Lake Aimee,85757,,Z002,Consumer Goods,2022-04-19
0000100074,"Hampton, Marshall and Petersen",DE,Marcusbury,11860,,Z003,Logistics,2022-05-09
0000100075,Sanchez-Marshall,US,Rogersfort,43101,HI,Z001,High Tech,2023-08-03
0000100076,Salinas-Peterson,GB,Angelahaven,25543,,Z001,Logistics,2021-03-17
0000100077,"Russell, Peters and Allen",US,Brewerfort,59244,WY,Z001,Retail,2020-10-20
0000100078,Walker-Holt,US,Elizabethstad,62532,OH,Z001,Utilities,2023-11-04
0000100079,Barajas-Pierce,MX,Jacquelineview,40690,,Z002,Automotive,2022-03-10
0000100080,Griffith LLC,FR,Lake Amandaburgh,25606,,Z001,Industrial Manufacturing,2021-12-24
0000100081,Hill-Lawrence,US,Tinaborough,39330,IN,Z001,Industrial Manufacturing,2022-11-02
0000100082,Smith-Ferguson,JP,Brandonton,73030,,Z001,Utilities,2022-06-06
0000100083,Little Group,IN,Port Alexanderport,62025,,Z002,Automotive,2023-07-14
0000100084,Lopez-Williams,IN,Wilsonland,53022,,Z001,Retail,2023-08-12
0000100085,"Soto, Brown and Hernandez",US,Christopherbury,16026,OH,Z001,Pharma,2025-03-23
0000100086,"Carlson, Montgomery and Rowe",US,Hayesmouth,39475,VI,Z002,Automotive,2024-03-08
0000100087,Torres-Oliver,AE,Port Jaredborough,35188,,Z001,Retail,2024-08-10
0000100088,Allen PLC,NL,East Aaronmouth,90858,,Z002,Retail,2024-03-19
0000100089,Johnson-Roberts,SG,Jacquelinemouth,09830,,Z001,Retail,2024-10-08
0000100090,French-Weber,IN,South Danny,29967,,Z003,Pharma,2024-07-14
0000100091,Serrano-Jones,DE,Port Kyle,98668,,Z001,Chemicals,2025-07-31
0000100092,Gonzales-Harrison,US,Hollyview,66098,ND,Z001,High Tech,2023-08-16
0000100093,George Group,FR,Cassandratown,12471,,Z003,Life Sciences,2022-01-20
0000100094,"Huff, Johnston and Sampson",SG,Barbaraburgh,62170,,Z001,High Tech,2023-10-09
0000100095,Moon-White,IN,Waltersfort,12460,,Z003,High Tech,2023-06-26
0000100096,Cook-Santiago,US,West Robert,65443,LA,Z001,Life Sciences,2024-08-15
0000100097,Cervantes-Pierce,BR,Millerview,42873,,Z002,Industrial Manufacturing,2021-05-21
0000100098,Hancock-Bryan,DE,Lake Mollymouth,54666,,Z001,Chemicals,2021-01-08
0000100099,"Cox, Avila and Garrett",DE,East Josephberg,38253,,Z001,Utilities,2023-04-18
0000100100,"Washington, Johnson and Mccoy",SG,Lake Eric,72700,,Z001,Logistics,2020-10-12
0000100101,Davis-Gay,IN,South Staceyberg,65824,,Z001,Utilities,2026-03-22
0000100102,Hicks-Hill,CN,Bairdbury,60372,,Z002,Consumer Goods,2023-12-18
0000100103,Lee-Greene,DE,Port Chad,54888,,Z001,High Tech,2022-09-17
0000100104,"Adams, Smith and Barber",GB,Grimesmouth,71093,,Z002,Consumer Goods,2023-07-27
0000100105,Arnold-Daniels,GB,Cantuborough,91923,,Z001,Industrial Manufacturing,2022-02-11
0000100106,Hall-Rowe,IN,West Juliefurt,51105,,Z001,Pharma,2026-07-20
0000100107,"Pollard, Simpson and Johnson",US,Mollymouth,13570,NC,Z001,Retail,2026-02-02
0000100108,Bowen Group,FR,North Terrance,35238,,Z002,Retail,2022-09-14
0000100109,"Sanders, Miller and Murphy",GB,Finleyfort,71413,,Z002,Pharma,2020-11-29
0000100110,Young Ltd,DE,Wendyland,57382,,Z002,Utilities,2026-06-29
0000100111,"Padilla, Garcia and Jackson",CN,Rebeccaton,43017,,Z003,Life Sciences,2025-05-31
0000100112,Howard-Jordan,DE,New Robert,89865,,Z002,Consumer Goods,2025-05-23
0000100113,Thompson PLC,GB,Harveybury,65731,,Z001,Retail,2026-02-07
0000100114,Hall Ltd,US,Stevetown,61482,MH,Z001,Logistics,2022-05-27
0000100115,"Moore, Alexander and Reed",CN,Daniellechester,90981,,Z001,Life Sciences,2022-03-07
0000100116,Gonzalez-Cruz,US,Rodriguezfurt,75464,MI,Z001,Industrial Manufacturing,2024-02-07
0000100117,"Phillips, Spence and Barrett",CN,Alanton,79983,,Z002,Retail,2025-02-10
0000100118,Parsons-Hall,IN,Jefferyborough,81882,,Z001,Retail,2022-03-08
0000100119,"Saunders, Becker and Taylor",IN,Lake Debbieport,58280,,Z001,Life Sciences,2020-11-24
0000100120,Oconnor-Davis,DE,Markchester,23522,,Z002,Logistics,2021-11-21
0000100121,"Walter, Diaz and Shaw",DE,Mariaview,63657,,Z001,Automotive,2026-06-05
0000100122,Francis-Morgan,DE,South Sydneyberg,99349,,Z003,Retail,2026-06-03
0000100123,"Ramsey, Whitney and Coffey",GB,Christopherfurt,02325,,Z001,Retail,2022-04-07
0000100124,Gibson Ltd,GB,Brendastad,14702,,Z001,Retail,2024-09-10
0000100125,Johnson-Henson,DE,Rosebury,85390,,Z002,Retail,2021-01-27
0000100126,Blankenship-Turner,NL,Wilsonton,05378,,Z001,Life Sciences,2022-07-03
0000100127,Wilson-Young,IN,South Shawn,88382,,Z001,Automotive,2026-04-27
0000100128,"Bautista, Barnes and Newton",FR,South Diana,64640,,Z002,Utilities,2024-05-06
0000100129,Johnson-Wood,AU,Wallacebury,48038,,Z003,Pharma,2021-04-15
0000100130,"Richardson, Winters and Newman",IN,South Joshuaville,60101,,Z001,Automotive,2021-03-30
0000100131,May PLC,GB,North Kristinbury,17006,,Z001,Retail,2025-05-11
0000100132,Jones PLC,IN,New Jason,31040,,Z002,Utilities,2022-08-24
0000100133,Kramer PLC,NL,West Micheleberg,17539,,Z001,High Tech,2023-11-24
0000100134,Rodriguez Inc,US,North Michael,31687,OR,Z002,Chemicals,2022-08-13
0000100135,Baker and Sons,US,Foxland,62923,NV,Z001,Life Sciences,2025-04-22
0000100136,"Wheeler, Hayes and Walker",CN,Lake Kristahaven,40036,,Z001,Consumer Goods,2023-05-31
0000100137,Brown Group,DE,Simmonsville,64761,,Z001,Retail,2024-12-01
0000100138,Jones-Miller,DE,North David,82331,,Z003,Utilities,2024-06-12
0000100139,"Joseph, James and Harper",CN,Shawnchester,13500,,Z002,Logistics,2025-05-24
0000100140,Farrell Ltd,FR,South Shannon,30450,,Z001,Utilities,2023-02-24
0000100141,Ross-Blair,CA,Ronaldview,49561,,Z003,Pharma,2026-05-06
0000100142,"Leblanc, Jones and Decker",DE,South Colinstad,17555,,Z002,Utilities,2023-12-29
0000100143,"Frye, Hoffman and Santiago",MX,Gomezchester,95011,,Z001,Automotive,2021-01-02
0000100144,Burke-Bell,CN,East Diane,29893,,Z002,Consumer Goods,2025-09-18
0000100145,Bruce-Richardson,US,Audreychester,74027,WI,Z003,Pharma,2025-07-18
0000100146,"Leonard, Hawkins and Lynch",CA,Anthonyview,92605,,Z001,Consumer Goods,2025-03-19
0000100147,Bell-White,DE,New Diane,09621,,Z001,Logistics,2021-07-16
0000100148,"Bonilla, Davis and Moreno",MX,Barnesmouth,21132,,Z001,Pharma,2022-11-22
0000100149,"Nguyen, Pugh and Carlson",IN,East Ericton,88839,,Z002,Retail,2021-03-08
0000100150,Stanley-Tucker,US,Perryborough,99452,NY,Z002,Pharma,2021-05-17
0000100151,Rodriguez-Gregory,CN,Roseport,06453,,Z002,Chemicals,2022-01-02
0000100152,"Brown, Harris and Dougherty",BR,Port Jonathan,43508,,Z001,Retail,2021-05-30
0000100153,Burgess-Thompson,GB,Patelbury,66071,,Z001,Life Sciences,2024-01-03
0000100154,"Drake, Jones and Hensley",GB,South Andrewland,41534,,Z003,High Tech,2024-02-09
0000100155,"Sullivan, Bowman and Roberts",JP,Smithmouth,23028,,Z002,Life Sciences,2025-06-11
0000100156,"Stevens, Norris and Cox",IN,Richardbury,57605,,Z001,Chemicals,2024-03-09
0000100157,"Miller, Harrell and Reese",GB,West Kimberly,10512,,Z001,Logistics,2023-09-21
0000100158,Schmidt and Sons,CA,Michaelberg,31469,,Z002,Retail,2021-04-23
0000100159,Gonzalez-Morrison,FR,East Stephaniefort,61312,,Z001,Utilities,2025-03-02
0000100160,"Cole, Glass and Cunningham",DE,Michellemouth,20287,,Z001,Pharma,2023-04-21
0000100161,Ramos-Turner,US,Brittanystad,66998,CA,Z003,Pharma,2022-07-16
0000100162,Johnson-Wood,DE,Chaseland,81111,,Z002,Consumer Goods,2024-03-20
0000100163,Ford-Spencer,BR,South Reginashire,85938,,Z001,Life Sciences,2021-10-24
0000100164,"Alvarez, Hernandez and Brown",NL,Port Rachelmouth,94127,,Z001,Consumer Goods,2021-03-14
0000100165,"Thompson, Wright and Kim",US,Warrenburgh,48197,MN,Z001,Life Sciences,2026-02-18
0000100166,Ortiz-Morgan,BR,Port Crystalmouth,09140,,Z002,Logistics,2022-08-26
0000100167,"Gregory, Mitchell and Cummings",BR,West Christopher,87481,,Z002,Logistics,2021-07-15
0000100168,Collins-Douglas,DE,Andersonland,41078,,Z001,Utilities,2024-01-04
0000100169,"Conner, Li and Santiago",FR,Lake Ellenhaven,47926,,Z001,Life Sciences,2020-10-22
0000100170,White-Lewis,US,Leeberg,20809,CA,Z003,Retail,2022-06-14
0000100171,Romero PLC,US,Lake Matthewberg,78783,MS,Z003,Retail,2021-08-12
0000100172,Guerra PLC,US,Lake Samuel,54353,MN,Z002,Logistics,2024-09-14
0000100173,Montes PLC,FR,Karenmouth,31172,,Z002,Automotive,2023-11-11
0000100174,Sheppard-Mueller,IN,West Erika,75267,,Z001,Chemicals,2026-07-12
0000100175,Hammond-Strickland,US,Burchborough,79755,DC,Z001,Utilities,2025-11-13
0000100176,Davidson LLC,DE,Lake Meghanville,37864,,Z001,Retail,2021-03-13
0000100177,Nelson PLC,US,Port Samuel,29603,GU,Z001,Life Sciences,2023-05-16
0000100178,Arias-Perry,DE,Shawbury,51116,,Z001,Retail,2026-08-03
0000100179,Walker-Flores,JP,Port Jennifermouth,19643,,Z003,Industrial Manufacturing,2021-07-07
0000100180,Lowery-Kennedy,US,Port Janice,59300,RI,Z001,Retail,2020-09-24
0000100181,Smith and Sons,CA,New Shelby,80308,,Z002,Consumer Goods,2023-10-29
0000100182,Parsons and Sons,CA,Davidbury,55528,,Z003,Retail,2024-06-25
0000100183,"Bryant, Rodriguez and Stein",IN,Lake Zacharybury,94682,,Z001,Utilities,2021-07-20
0000100184,Smith-Gomez,MX,Lopezland,69115,,Z001,Retail,2026-06-21
0000100185,Ashley PLC,US,South Morganton,83819,MS,Z001,Automotive,2026-07-05
0000100186,Burgess-Kelly,GB,West Johnville,76772,,Z003,Retail,2025-01-19
0000100187,Anderson-Bell,BR,Lisaburgh,90243,,Z001,Automotive,2023-06-14
0000100188,"Mendoza, White and Taylor",CA,Johnsonborough,06242,,Z001,Consumer Goods,2025-05-20
0000100189,Stewart LLC,US,Haysside,62550,KS,Z001,Chemicals,2020-12-01
0000100190,"Lee, Kelly and Norman",MX,Joshuastad,57773,,Z002,Retail,2025-12-19
0000100191,"Gonzales, Huber and Morgan",AE,South Heather,48649,,Z001,Retail,2026-03-04
0000100192,"Adams, Miller and Coleman",CN,Morrisonburgh,71997,,Z002,Consumer Goods,2022-06-10
0000100193,Miller Ltd,US,Kirkchester,22343,UT,Z001,Automotive,2023-04-30
0000100194,Williams-Berg,AU,Christinachester,36487,,Z002,Automotive,2024-06-26
0000100195,Jones Ltd,CN,Coxburgh,04582,,Z002,Utilities,2021-07-18
0000100196,"Gregory, Kim and Martinez",US,Port Deanna,47968,MS,Z001,Industrial Manufacturing,2026-04-27
0000100197,Jacobs Ltd,BR,Rushstad,58689,,Z001,Automotive,2025-03-20
0000100198,"Taylor, Richardson and Edwards",FR,Johnville,03897,,Z001,Logistics,2025-01-20
0000100199,Holmes-Mcintyre,IN,West Kimberlymouth,28625,,Z001,Chemicals,2026-08-07
