BELNR,BUKRS,GJAHR,BUDAT,BUZEI,HKONT,SHKZG,DMBTR,REF_BILLING
5000000018,US10,2026,2026-04-02,001,0140000000,S,2213.88,9000000018
5000000018,US10,2026,2026-04-02,002,0800000000,H,2213.88,9000000018
5000000019,US10,2025,2025-11-29,001,0140000000,S,2069.19,9000000019
5000000019,US10,2025,2025-11-29,002,0800000000,H,2069.19,9000000019
5000000020,DE20,2025,2025-09-23,001,0140000000,S,6615.13,9000000020
5000000020,DE20,2025,2025-09-23,002,0800000000,H,6615.13,9000000020
5000000021,US10,2025,2025-11-12,001,0140000000,S,492.16,9000000021
5000000021,US10,2025,2025-11-12,002,0800000000,H,492.16,9000000021
5000000022,US10,2025,2025-06-20,001,0140000000,S,1959.96,9000000022
5000000022,US10,2025,2025-06-20,002,0800000000,H,1959.96,9000000022
5000000023,US10,2024,2024-10-25,001,0140000000,S,42.57,9000000023
5000000023,US10,2024,2024-10-25,002,0800000000,H,42.57,9000000023
5000000024,US10,2024,2024-10-31,001,0140000000,S,3396.39,9000000024
5000000024,US10,2024,2024-10-31,002,0800000000,H,3396.39,9000000024
5000000025,DE20,2026,2026-08-05,001,0140000000,S,8780.88,9000000025
5000000025,DE20,2026,2026-08-05,002,0800000000,H,8780.88,9000000025
5000000026,DE20,2026,2026-05-25,001,0140000000,S,3935.96,9000000026
5000000026,DE20,2026,2026-05-25,002,0800000000,H,3935.96,9000000026
5000000027,IN30,2025,2025-04-24,001,0140000000,S,1493.36,9000000027
5000000027,IN30,2025,2025-04-24,002,0800000000,H,1493.36,9000000027
5000000028,US10,2026,2026-06-29,001,0140000000,S,4800.56,9000000028
5000000028,US10,2026,2026-06-29,002,0800000000,H,4800.56,9000000028
5000000029,US10,2025,2025-10-04,001,0140000000,S,120.95,9000000029
5000000029,US10,2025,2025-10-04,002,0800000000,H,120.95,9000000029
5000000030,US10,2024,2024-11-28,001,0140000000,S,6991.08,9000000030
5000000030,US10,2024,2024-11-28,002,0800000000,H,6991.08,9000000030
5000000031,US10,2026,2026-06-04,001,0140000000,S,3924.29,9000000031
5000000031,US10,2026,2026-06-04,002,0800000000,H,3924.29,9000000031
5000000032,IN30,2025,2025-11-18,001,0140000000,S,1330.29,9000000032
5000000032,IN30,2025,2025-11-18,002,0800000000,H,1330.29,9000000032
5000000033,IN30,2026,2026-07-27,001,0140000000,S,4286.47,9000000033
5000000033,IN30,2026,2026-07-27,002,0800000000,H,4286.47,9000000033
5000000034,DE20,2026,2026-01-26,001,0140000000,S,1570.69,9000000034
5000000034,DE20,2026,2026-01-26,002,0800000000,H,1570.69,9000000034
5000000035,DE20,2024,2024-11-21,001,0140000000,S,2901.5,9000000035
5000000035,DE20,2024,2024-11-21,002,0800000000,H,2901.5,9000000035
5000000036,US10,2025,2025-12-19,001,0140000000,S,1099.4,9000000036
5000000036,US10,2025,2025-12-19,002,0800000000,H,1099.4,9000000036
5000000037,IN30,2026,2026-04-14,001,0140000000,S,3443.26,9000000037
5000000037,IN30,2026,2026-04-14,002,0800000000,H,3443.26,9000000037
5000000038,US10,2026,2026-07-09,001,0140000000,S,4652.15,9000000038
5000000038,US10,2026,2026-07-09,002,0800000000,H,4652.15,9000000038
5000000039,US10,2025,2025-05-16,001,0140000000,S,1383.91,9000000039
5000000039,US10,2025,2025-05-16,002,0800000000,H,1383.91,9000000039
5000000040,DE20,2025,2025-10-09,001,0140000000,S,3278.75,9000000040
5000000040,DE20,2025,2025-10-09,002,0800000000,H,3278.75,9000000040
5000000041,US10,2026,2026-02-11,001,0140000000,S,7.32,9000000041
5000000041,US10,2026,2026-02-11,002,0800000000,H,7.32,9000000041
5000000042,IN30,2025,2025-01-17,001,0140000000,S,72.85,9000000042
5000000042,IN30,2025,2025-01-17,002,0800000000,H,72.85,9000000042
5000000043,US10,2026,2026-05-27,001,0140000000,S,109.44,9000000043
5000000043,US10,2026,2026-05-27,002,0800000000,H,109.44,9000000043
5000000044,DE20,2026,2026-04-11,001,0140000000,S,1604.74,9000000044
5000000044,DE20,2026,2026-04-11,002,0800000000,H,1604.74,9000000044
5000000045,US10,2024,2024-10-20,001,0140000000,S,2080.65,9000000045
5000000045,US10,2024,2024-10-20,002,0800000000,H,2080.65,9000000045
5000000046,DE20,2025,2025-11-23,001,0140000000,S,6214.56,9000000046
5000000046,DE20,2025,2025-11-23,002,0800000000,H,6214.56,9000000046
5000000048,US10,2025,2025-01-30,001,0140000000,S,1298.59,9000000048
5000000048,US10,2025,2025-01-30,002,0800000000,H,1298.59,9000000048
5000000050,IN30,2026,2026-08-25,001,0140000000,S,5856.6,9000000050
5000000050,IN30,2026,2026-08-25,002,0800000000,H,5856.6,9000000050
5000000051,DE20,2025,2025-10-27,001,0140000000,S,336.69,9000000051
5000000051,DE20,2025,2025-10-27,002,0800000000,H,336.69,9000000051
5000000052,DE20,2024,2024-12-06,001,0140000000,S,3189.67,9000000052
5000000052,DE20,2024,2024-12-06,002,0800000000,H,3189.67,9000000052
5000000053,US10,2025,2025-09-13,001,0140000000,S,6008.77,9000000053
5000000053,US10,2025,2025-09-13,002,0800000000,H,6008.77,9000000053
5000000054,IN30,2026,2026-04-09,001,0140000000,S,6111.98,9000000054
5000000054,IN30,2026,2026-04-09,002,0800000000,H,6111.98,9000000054
5000000055,US10,2026,2026-08-16,001,0140000000,S,129.77,9000000055
5000000055,US10,2026,2026-08-16,002,0800000000,H,129.77,9000000055
5000000056,IN30,2026,2026-02-18,001,0140000000,S,9453.83,9000000056
5000000056,IN30,2026,2026-02-18,002,0800000000,H,9453.83,9000000056
5000000057,DE20,2024,2024-10-16,001,0140000000,H,52.98,9000000057
5000000057,DE20,2024,2024-10-16,002,0801000000,S,52.98,9000000057
5000000058,US10,2026,2026-08-23,001,0140000000,S,5150.72,9000000058
5000000058,US10,2026,2026-08-23,002,0800000000,H,5150.72,9000000058
5000000059,DE20,2025,2025-12-03,001,0140000000,S,444.62,9000000059
5000000059,DE20,2025,2025-12-03,002,0800000000,H,444.62,9000000059
5000000060,US10,2024,2024-11-19,001,0140000000,S,2816.34,9000000060
5000000060,US10,2024,2024-11-19,002,0800000000,H,2816.34,9000000060
5000000062,US10,2024,2024-11-17,001,0140000000,S,2400.48,9000000062
5000000062,US10,2024,2024-11-17,002,0800000000,H,2400.48,9000000062
5000000063,US10,2026,2026-01-15,001,0140000000,S,7480.99,9000000063
5000000063,US10,2026,2026-01-15,002,0800000000,H,7480.99,9000000063
5000000064,US10,2025,2025-01-04,001,0140000000,S,3750.24,9000000064
5000000064,US10,2025,2025-01-04,002,0800000000,H,3750.24,9000000064
5000000065,DE20,2026,2026-05-02,001,0140000000,S,370.8,9000000065
5000000065,DE20,2026,2026-05-02,002,0800000000,H,370.8,9000000065
5000000066,IN30,2024,2024-12-05,001,0140000000,S,68.24,9000000066
5000000066,IN30,2024,2024-12-05,002,0800000000,H,68.24,9000000066
5000000067,US10,2025,2025-10-10,001,0140000000,S,15115.07,9000000067
5000000067,US10,2025,2025-10-10,002,0800000000,H,15115.07,9000000067
5000000068,US10,2025,2025-08-09,001,0140000000,S,230.58,9000000068
5000000068,US10,2025,2025-08-09,002,0800000000,H,230.58,9000000068
5000000069,US10,2024,2024-10-16,001,0140000000,S,354.06,9000000069
5000000069,US10,2024,2024-10-16,002,0800000000,H,354.06,9000000069
5000000070,DE20,2024,2024-09-18,001,0140000000,S,1149.6,9000000070
5000000070,DE20,2024,2024-09-18,002,0800000000,H,1149.6,9000000070
5000000071,IN30,2026,2026-07-07,001,0140000000,S,3893.04,9000000071
5000000071,IN30,2026,2026-07-07,002,0800000000,H,3893.04,9000000071
5000000072,US10,2026,2026-09-01,001,0140000000,S,1334.46,9000000072
5000000072,US10,2026,2026-09-01,002,0800000000,H,1334.46,9000000072
5000000073,US10,2024,2024-12-18,001,0140000000,S,2405.7,9000000073
5000000073,US10,2024,2024-12-18,002,0800000000,H,2405.7,9000000073
5000000074,US10,2026,2026-03-08,001,0140000000,S,939.47,9000000074
5000000074,US10,2026,2026-03-08,002,0800000000,H,939.47,9000000074
5000000075,IN30,2026,2026-09-12,001,0140000000,S,1640.86,9000000075
5000000075,IN30,2026,2026-09-12,002,0800000000,H,1640.86,9000000075
5000000076,IN30,2026,2026-07-11,001,0140000000,S,1561.71,9000000076
5000000076,IN30,2026,2026-07-11,002,0800000000,H,1561.71,9000000076
5000000077,IN30,2026,2026-06-24,001,0140000000,S,728.16,9000000077
5000000077,IN30,2026,2026-06-24,002,0800000000,H,728.16,9000000077
5000000078,IN30,2025,2025-05-23,001,0140000000,H,497.84,9000000078
5000000078,IN30,2025,2025-05-23,002,0801000000,S,497.84,9000000078
5000000079,US10,2026,2026-02-23,001,0140000000,S,1028.63,9000000079
5000000079,US10,2026,2026-02-23,002,0800000000,H,1028.63,9000000079
5000000080,DE20,2025,2025-09-14,001,0140000000,S,330.74,9000000080
5000000080,DE20,2025,2025-09-14,002,0800000000,H,330.74,9000000080
5000000081,US10,2026,2026-08-03,001,0140000000,S,302.82,9000000081
5000000081,US10,2026,2026-08-03,002,0800000000,H,302.82,9000000081
5000000082,DE20,2026,2026-02-11,001,0140000000,S,1390.17,9000000082
5000000082,DE20,2026,2026-02-11,002,0800000000,H,1390.17,9000000082
5000000083,US10,2026,2026-05-28,001,0140000000,S,1722.27,9000000083
5000000083,US10,2026,2026-05-28,002,0800000000,H,1722.27,9000000083
5000000084,DE20,2026,2026-06-04,001,0140000000,S,474.92,9000000084
5000000084,DE20,2026,2026-06-04,002,0800000000,H,474.92,9000000084
5000000085,IN30,2025,2025-06-26,001,0140000000,S,1310.45,9000000085
5000000085,IN30,2025,2025-06-26,002,0800000000,H,1310.45,9000000085
5000000086,US10,2026,2026-02-20,001,0140000000,H,49.99,9000000086
5000000086,US10,2026,2026-02-20,002,0801000000,S,49.99,9000000086
5000000087,DE20,2024,2024-11-22,001,0140000000,S,2050.05,9000000087
5000000087,DE20,2024,2024-11-22,002,0800000000,H,2050.05,9000000087
5000000088,US10,2025,2025-02-15,001,0140000000,S,3090.11,9000000088
5000000088,US10,2025,2025-02-15,002,0800000000,H,3090.11,9000000088
5000000089,US10,2026,2026-07-31,001,0140000000,H,162.65,9000000089
5000000089,US10,2026,2026-07-31,002,0801000000,S,162.65,9000000089
5000000090,US10,2025,2025-07-07,001,0140000000,S,1307.53,9000000090
5000000090,US10,2025,2025-07-07,002,0800000000,H,1307.53,9000000090
5000000091,US10,2026,2026-02-01,001,0140000000,S,587.44,9000000091
5000000091,US10,2026,2026-02-01,002,0800000000,H,587.44,9000000091
5000000092,US10,2025,2025-11-10,001,0140000000,S,1144.6,9000000092
5000000092,US10,2025,2025-11-10,002,0800000000,H,1144.6,9000000092
5000000093,US10,2025,2025-03-27,001,0140000000,S,341.47,9000000093
5000000093,US10,2025,2025-03-27,002,0800000000,H,341.47,9000000093
5000000094,US10,2026,2026-07-19,001,0140000000,S,2169.93,9000000094
5000000094,US10,2026,2026-07-19,002,0800000000,H,2169.93,9000000094
5000000095,DE20,2025,2025-05-11,001,0140000000,S,2117.77,9000000095
5000000095,DE20,2025,2025-05-11,002,0800000000,H,2117.77,9000000095
5000000096,US10,2025,2025-01-28,001,0140000000,S,4960.08,9000000096
5000000096,US10,2025,2025-01-28,002,0800000000,H,4960.08,9000000096
5000000097,US10,2025,2025-01-27,001,0140000000,S,3026.18,9000000097
5000000097,US10,2025,2025-01-27,002,0800000000,H,3026.18,9000000097
5000000098,US10,2026,2026-05-17,001,0140000000,S,351.77,9000000098
5000000098,US10,2026,2026-05-17,002,0800000000,H,351.77,9000000098
5000000099,US10,2026,2026-02-17,001,0140000000,S,1827.99,9000000099
5000000099,US10,2026,2026-02-17,002,0800000000,H,1827.99,9000000099
5000000100,IN30,2026,2026-08-22,001,0140000000,S,374.2,9000000100
5000000100,IN30,2026,2026-08-22,002,0800000000,H,374.2,9000000100
5000000101,DE20,2026,2026-08-17,001,0140000000,S,1364.63,9000000101
5000000101,DE20,2026,2026-08-17,002,0800000000,H,1364.63,9000000101
5000000102,DE20,2025,2025-02-23,001,0140000000,S,1539.88,9000000102
5000000102,DE20,2025,2025-02-23,002,0800000000,H,1539.88,9000000102
5000000103,DE20,2025,2025-01-31,001,0140000000,S,148.05,9000000103
5000000103,DE20,2025,2025-01-31,002,0800000000,H,148.05,9000000103
5000000104,DE20,2025,2025-02-20,001,0140000000,S,2010.15,9000000104
5000000104,DE20,2025,2025-02-20,002,0800000000,H,2010.15,9000000104
5000000105,US10,2025,2025-06-27,001,0140000000,S,40.08,9000000105
5000000105,US10,2025,2025-06-27,002,0800000000,H,40.08,9000000105
5000000106,US10,2025,2025-02-26,001,0140000000,S,3229.77,9000000106
5000000106,US10,2025,2025-02-26,002,0800000000,H,3229.77,9000000106
5000000107,US10,2025,2025-08-15,001,0140000000,S,664.46,9000000107
5000000107,US10,2025,2025-08-15,002,0800000000,H,664.46,9000000107
5000000108,US10,2024,2024-10-30,001,0140000000,S,7516.93,9000000108
5000000108,US10,2024,2024-10-30,002,0800000000,H,7516.93,9000000108
5000000109,US10,2024,2024-10-05,001,0140000000,S,40.84,9000000109
5000000109,US10,2024,2024-10-05,002,0800000000,H,40.84,9000000109
5000000110,IN30,2025,2025-12-09,001,0140000000,S,2897.57,9000000110
5000000110,IN30,2025,2025-12-09,002,0800000000,H,2897.57,9000000110
5000000111,US10,2025,2025-09-27,001,0140000000,S,2568.95,9000000111
5000000111,US10,2025,2025-09-27,002,0800000000,H,2568.95,9000000111
5000000112,US10,2026,2026-07-18,001,0140000000,S,496.81,9000000112
5000000112,US10,2026,2026-07-18,002,0800000000,H,496.81,9000000112
5000000113,DE20,2026,2026-06-06,001,0140000000,S,2039.7,9000000113
5000000113,DE20,2026,2026-06-06,002,0800000000,H,2039.7,9000000113
5000000114,US10,2025,2025-11-11,001,0140000000,S,403.2,9000000114
5000000114,US10,2025,2025-11-11,002,0800000000,H,403.2,9000000114
5000000115,DE20,2025,2025-03-25,001,0140000000,S,1102.94,9000000115
5000000115,DE20,2025,2025-03-25,002,0800000000,H,1102.94,9000000115
5000000116,US10,2024,2024-12-18,001,0140000000,S,4670.51,9000000116
5000000116,US10,2024,2024-12-18,002,0800000000,H,4670.51,9000000116
5000000117,US10,2026,2026-03-30,001,0140000000,S,2671.85,9000000117
5000000117,US10,2026,2026-03-30,002,0800000000,H,2671.85,9000000117
5000000118,US10,2025,2025-01-05,001,0140000000,S,10618.26,9000000118
5000000118,US10,2025,2025-01-05,002,0800000000,H,10618.26,9000000118
5000000119,US10,2024,2024-09-22,001,0140000000,S,964.44,9000000119
5000000119,US10,2024,2024-09-22,002,0800000000,H,964.44,9000000119
5000000120,US10,2026,2026-02-09,001,0140000000,S,2059.53,9000000120
5000000120,US10,2026,2026-02-09,002,0800000000,H,2059.53,9000000120
5000000121,DE20,2024,2024-12-20,001,0140000000,S,2889.45,9000000121
5000000121,DE20,2024,2024-12-20,002,0800000000,H,2889.45,9000000121
5000000122,DE20,2025,2025-12-15,001,0140000000,H,57.57,9000000122
5000000122,DE20,2025,2025-12-15,002,0801000000,S,57.57,9000000122
5000000123,US10,2025,2025-02-12,001,0140000000,S,530.18,9000000123
5000000123,US10,2025,2025-02-12,002,0800000000,H,530.18,9000000123
5000000124,IN30,2025,2025-07-22,001,0140000000,S,2110.83,9000000124
5000000124,IN30,2025,2025-07-22,002,0800000000,H,2110.83,9000000124
5000000125,US10,2024,2024-09-29,001,0140000000,S,7125.36,9000000125
5000000125,US10,2024,2024-09-29,002,0800000000,H,7125.36,9000000125
5000000126,US10,2025,2025-06-18,001,0140000000,S,152.79,9000000126
5000000126,US10,2025,2025-06-18,002,0800000000,H,152.79,9000000126
5000000127,DE20,2025,2025-05-13,001,0140000000,H,84.93,9000000127
5000000127,DE20,2025,2025-05-13,002,0801000000,S,84.93,9000000127
5000000128,US10,2025,2025-03-29,001,0140000000,S,1666.35,9000000128
5000000128,US10,2025,2025-03-29,002,0800000000,H,1666.35,9000000128
5000000129,US10,2025,2025-11-10,001,0140000000,S,338.12,9000000129
5000000129,US10,2025,2025-11-10,002,0800000000,H,338.12,9000000129
5000000130,DE20,2026,2026-02-08,001,0140000000,S,5450.05,9000000130
5000000130,DE20,2026,2026-02-08,002,0800000000,H,5450.05,9000000130
5000000131,IN30,2025,2025-02-09,001,0140000000,S,389.84,9000000131
5000000131,IN30,2025,2025-02-09,002,0800000000,H,389.84,9000000131
5000000132,US10,2025,2025-03-30,001,0140000000,S,11884.46,9000000132
5000000132,US10,2025,2025-03-30,002,0800000000,H,11884.46,9000000132
5000000133,DE20,2026,2026-02-08,001,0140000000,H,392.76,9000000133
5000000133,DE20,2026,2026-02-08,002,0801000000,S,392.76,9000000133
5000000134,DE20,2025,2025-04-06,001,0140000000,S,928.55,9000000134
5000000134,DE20,2025,2025-04-06,002,0800000000,H,928.55,9000000134
5000000135,DE20,2026,2026-01-03,001,0140000000,S,3861.37,9000000135
5000000135,DE20,2026,2026-01-03,002,0800000000,H,3861.37,9000000135
5000000136,US10,2026,2026-02-13,001,0140000000,S,6568.76,9000000136
5000000136,US10,2026,2026-02-13,002,0800000000,H,6568.76,9000000136
5000000137,US10,2024,2024-12-26,001,0140000000,S,2882.19,9000000137
5000000137,US10,2024,2024-12-26,002,0800000000,H,2882.19,9000000137
5000000138,US10,2025,2025-02-26,001,0140000000,S,802.48,9000000138
5000000138,US10,2025,2025-02-26,002,0800000000,H,802.48,9000000138
5000000139,IN30,2026,2026-03-02,001,0140000000,S,59.74,9000000139
5000000139,IN30,2026,2026-03-02,002,0800000000,H,59.74,9000000139
5000000140,US10,2025,2025-08-31,001,0140000000,H,796.99,9000000140
5000000140,US10,2025,2025-08-31,002,0801000000,S,796.99,9000000140
5000000141,US10,2026,2026-01-01,001,0140000000,S,7432.32,9000000141
5000000141,US10,2026,2026-01-01,002,0800000000,H,7432.32,9000000141
5000000142,IN30,2025,2025-04-12,001,0140000000,S,3842.62,9000000142
5000000142,IN30,2025,2025-04-12,002,0800000000,H,3842.62,9000000142
5000000143,US10,2026,2026-01-15,001,0140000000,S,215.27,9000000143
5000000143,US10,2026,2026-01-15,002,0800000000,H,215.27,9000000143
5000000144,US10,2025,2025-04-24,001,0140000000,S,1772.91,9000000144
5000000144,US10,2025,2025-04-24,002,0800000000,H,1772.91,9000000144
5000000145,US10,2025,2025-09-06,001,0140000000,S,1689.51,9000000145
5000000145,US10,2025,2025-09-06,002,0800000000,H,1689.51,9000000145
5000000146,DE20,2025,2025-08-05,001,0140000000,H,1263.26,9000000146
5000000146,DE20,2025,2025-08-05,002,0801000000,S,1263.26,9000000146
5000000147,IN30,2026,2026-07-15,001,0140000000,S,4436.34,9000000147
5000000147,IN30,2026,2026-07-15,002,0800000000,H,4436.34,9000000147
5000000148,US10,2026,2026-03-19,001,0140000000,S,1448.4,9000000148
5000000148,US10,2026,2026-03-19,002,0800000000,H,1448.4,9000000148
5000000149,DE20,2025,2025-10-24,001,0140000000,S,2569.57,9000000149
5000000149,DE20,2025,2025-10-24,002,0800000000,H,2569.57,9000000149
5000000150,US10,2026,2026-05-25,001,0140000000,S,2156.05,9000000150
5000000150,US10,2026,2026-05-25,002,0800000000,H,2156.05,9000000150
5000000151,US10,2025,2025-12-05,001,0140000000,S,497.12,9000000151
5000000151,US10,2025,2025-12-05,002,0800000000,H,497.12,9000000151
5000000152,US10,2026,2026-02-25,001,0140000000,S,1573.39,9000000152
5000000152,US10,2026,2026-02-25,002,0800000000,H,1573.39,9000000152
5000000153,US10,2025,2025-10-03,001,0140000000,S,3850.86,9000000153
5000000153,US10,2025,2025-10-03,002,0800000000,H,3850.86,9000000153
5000000154,US10,2025,2025-11-11,001,0140000000,S,3624.34,9000000154
5000000154,US10,2025,2025-11-11,002,0800000000,H,3624.34,9000000154
5000000155,US10,2025,2025-02-17,001,0140000000,S,3690.24,9000000155
5000000155,US10,2025,2025-02-17,002,0800000000,H,3690.24,9000000155
5000000156,US10,2026,2026-07-30,001,0140000000,S,5401.81,9000000156
5000000156,US10,2026,2026-07-30,002,0800000000,H,5401.81,9000000156
5000000157,DE20,2025,2025-12-29,001,0140000000,S,1171.94,9000000157
5000000157,DE20,2025,2025-12-29,002,0800000000,H,1171.94,9000000157
5000000158,DE20,2026,2026-05-06,001,0140000000,S,1439.33,9000000158
5000000158,DE20,2026,2026-05-06,002,0800000000,H,1439.33,9000000158
5000000159,US10,2025,2025-12-06,001,0140000000,S,861.94,9000000159
5000000159,US10,2025,2025-12-06,002,0800000000,H,861.94,9000000159
5000000160,DE20,2024,2024-10-06,001,0140000000,S,1552.15,9000000160
5000000160,DE20,2024,2024-10-06,002,0800000000,H,1552.15,9000000160
5000000161,DE20,2024,2024-12-04,001,0140000000,S,2740.4,9000000161
5000000161,DE20,2024,2024-12-04,002,0800000000,H,2740.4,9000000161
5000000162,US10,2026,2026-06-22,001,0140000000,H,25.06,9000000162
5000000162,US10,2026,2026-06-22,002,0801000000,S,25.06,9000000162
5000000163,US10,2026,2026-02-13,001,0140000000,S,4971.8,9000000163
5000000163,US10,2026,2026-02-13,002,0800000000,H,4971.8,9000000163
5000000164,US10,2026,2026-07-08,001,0140000000,S,2937.07,9000000164
5000000164,US10,2026,2026-07-08,002,0800000000,H,2937.07,9000000164
5000000165,DE20,2026,2026-07-04,001,0140000000,S,930.12,9000000165
5000000165,DE20,2026,2026-07-04,002,0800000000,H,930.12,9000000165
5000000166,DE20,2025,2025-03-07,001,0140000000,S,274.52,9000000166
5000000166,DE20,2025,2025-03-07,002,0800000000,H,274.52,9000000166
5000000167,US10,2026,2026-09-07,001,0140000000,S,2176.25,9000000167
5000000167,US10,2026,2026-09-07,002,0800000000,H,2176.25,9000000167
5000000168,DE20,2025,2025-12-08,001,0140000000,S,2524.5,9000000168
5000000168,DE20,2025,2025-12-08,002,0800000000,H,2524.5,9000000168
5000000169,DE20,2026,2026-03-01,001,0140000000,S,825.93,9000000169
5000000169,DE20,2026,2026-03-01,002,0800000000,H,825.93,9000000169
5000000170,DE20,2025,2025-10-02,001,0140000000,S,540.73,9000000170
5000000170,DE20,2025,2025-10-02,002,0800000000,H,540.73,9000000170
5000000172,DE20,2025,2025-09-07,001,0140000000,S,184.2,9000000172
5000000172,DE20,2025,2025-09-07,002,0800000000,H,184.2,9000000172
5000000173,US10,2025,2025-08-20,001,0140000000,S,2513.62,9000000173
5000000173,US10,2025,2025-08-20,002,0800000000,H,2513.62,9000000173
5000000174,IN30,2025,2025-04-21,001,0140000000,S,2994.86,9000000174
5000000174,IN30,2025,2025-04-21,002,0800000000,H,2994.86,9000000174
5000000175,DE20,2025,2025-05-26,001,0140000000,S,2567.15,9000000175
5000000175,DE20,2025,2025-05-26,002,0800000000,H,2567.15,9000000175
5000000176,DE20,2025,2025-08-03,001,0140000000,S,3637.23,9000000176
5000000176,DE20,2025,2025-08-03,002,0800000000,H,3637.23,9000000176
5000000177,US10,2025,2025-03-28,001,0140000000,S,4084.78,9000000177
5000000177,US10,2025,2025-03-28,002,0800000000,H,4084.78,9000000177
5000000178,US10,2024,2024-12-26,001,0140000000,S,997.36,9000000178
5000000178,US10,2024,2024-12-26,002,0800000000,H,997.36,9000000178
5000000179,US10,2026,2026-04-30,001,0140000000,S,968.24,9000000179
5000000179,US10,2026,2026-04-30,002,0800000000,H,968.24,9000000179
5000000180,DE20,2025,2025-06-07,001,0140000000,S,4181.15,9000000180
5000000180,DE20,2025,2025-06-07,002,0800000000,H,4181.15,9000000180
5000000181,US10,2025,2025-06-09,001,0140000000,S,1676.7,9000000181
5000000181,US10,2025,2025-06-09,002,0800000000,H,1676.7,9000000181
5000000182,DE20,2026,2026-04-14,001,0140000000,S,340.29,9000000182
5000000182,DE20,2026,2026-04-14,002,0800000000,H,340.29,9000000182
5000000183,IN30,2026,2026-02-06,001,0140000000,S,1243.56,9000000183
5000000183,IN30,2026,2026-02-06,002,0800000000,H,1243.56,9000000183
5000000184,US10,2025,2025-08-09,001,0140000000,S,2222.06,9000000184
5000000184,US10,2025,2025-08-09,002,0800000000,H,2222.06,9000000184
5000000185,DE20,2025,2025-05-04,001,0140000000,S,5601.34,9000000185
5000000185,DE20,2025,2025-05-04,002,0800000000,H,5601.34,9000000185
5000000186,US10,2026,2026-04-24,001,0140000000,S,1224.08,9000000186
5000000186,US10,2026,2026-04-24,002,0800000000,H,1224.08,9000000186
5000000187,US10,2025,2025-03-11,001,0140000000,S,2934.62,9000000187
5000000187,US10,2025,2025-03-11,002,0800000000,H,2934.62,9000000187
5000000188,IN30,2025,2025-08-23,001,0140000000,S,1113.88,9000000188
5000000188,IN30,2025,2025-08-23,002,0800000000,H,1113.88,9000000188
5000000189,IN30,2025,2025-06-17,001,0140000000,S,862.2,9000000189
5000000189,IN30,2025,2025-06-17,002,0800000000,H,862.2,9000000189
5000000190,US10,2025,2025-11-27,001,0140000000,S,19828.11,9000000190
5000000190,US10,2025,2025-11-27,002,0800000000,H,19828.11,9000000190
5000000192,IN30,2024,2024-10-22,001,0140000000,S,793.15,9000000192
5000000192,IN30,2024,2024-10-22,002,0800000000,H,793.15,9000000192
5000000193,US10,2025,2025-01-25,001,0140000000,S,1533.87,9000000193
5000000193,US10,2025,2025-01-25,002,0800000000,H,1533.87,9000000193
