LOG_ID,TIMESTAMP,INTERFACE_ID,SOURCE_SYSTEM,TARGET_SYSTEM,MESSAGE_TYPE,STATUS,LATENCY_MS,PAYLOAD_SIZE_KB,RETRY_COUNT
LOG-0004996,2026-08-15 17:14:17.079035,IF-002,SAP_S4HANA,WMS_MANHATTAN,DESADV,SUCCESS,89.3,7.09,0
LOG-0004921,2026-08-15 17:19:45.079035,IF-002,SAP_S4HANA,WMS_MANHATTAN,DESADV,SUCCESS,35.7,5.21,0
LOG-0002570,2026-08-15 17:36:23.079035,IF-008,SAP_CPI,3PL_PROVIDER,DESADV,SUCCESS,74.7,7.51,0
LOG-0003199,2026-08-15 17:38:58.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,SUCCESS,532.6,6.0,0
LOG-0001302,2026-08-15 17:44:01.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,SUCCESS,201.4,4.92,0
LOG-0002051,2026-08-15 17:48:03.079035,IF-006,LEGACY_MAINFRAME,SAP_ECC,MATMAS,SUCCESS,36.1,7.91,0
LOG-0000457,2026-08-15 17:50:58.079035,IF-005,SAP_S4HANA,BTP_APP,OData,SUCCESS,48.2,11.57,0
LOG-0004136,2026-08-15 18:02:15.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,SUCCESS,68.4,7.07,0
LOG-0001345,2026-08-15 18:08:27.079035,IF-002,SAP_S4HANA,WMS_MANHATTAN,DESADV,SUCCESS,59.6,19.95,0
LOG-0003509,2026-08-15 18:21:19.079035,IF-001,SAP_ECC,SFDC_CRM,ORDERS,SUCCESS,84.7,3.92,0
LOG-0004171,2026-08-15 18:38:41.079035,IF-005,SAP_S4HANA,BTP_APP,OData,SUCCESS,80.6,1.25,0
LOG-0001320,2026-08-15 18:40:28.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,SUCCESS,50.2,4.93,0
LOG-0003822,2026-08-15 19:15:59.079035,IF-004,SAP_ECC,B2B_VAN_SPS,INVOIC,SUCCESS,58.7,4.81,0
LOG-0000155,2026-08-15 19:17:02.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,SUCCESS,109.9,4.69,0
LOG-0004051,2026-08-15 19:17:58.079035,IF-002,SAP_S4HANA,WMS_MANHATTAN,DESADV,SUCCESS,28.3,3.93,0
LOG-0001367,2026-08-15 19:24:51.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,SUCCESS,731.6,9.04,0
LOG-0002217,2026-08-15 19:30:12.079035,IF-006,LEGACY_MAINFRAME,SAP_ECC,MATMAS,SUCCESS,28.0,14.5,0
LOG-0002065,2026-08-15 19:31:02.079035,IF-004,SAP_ECC,B2B_VAN_SPS,INVOIC,RETRY,36.3,3.39,1
LOG-0004768,2026-08-15 19:39:54.079035,IF-002,SAP_S4HANA,WMS_MANHATTAN,DESADV,SUCCESS,145.6,5.96,0
LOG-0004784,2026-08-15 19:45:29.079035,IF-004,SAP_ECC,B2B_VAN_SPS,INVOIC,SUCCESS,28.6,0.9,0
LOG-0003783,2026-08-15 19:53:26.079035,IF-001,SAP_ECC,SFDC_CRM,ORDERS,SUCCESS,81.9,4.17,0
LOG-0001753,2026-08-15 19:56:45.079035,IF-008,SAP_CPI,3PL_PROVIDER,DESADV,SUCCESS,27.7,4.66,0
LOG-0002790,2026-08-15 20:07:33.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,SUCCESS,49.2,17.83,0
LOG-0002847,2026-08-15 20:27:47.079035,IF-008,SAP_CPI,3PL_PROVIDER,DESADV,SUCCESS,98.3,30.03,0
LOG-0003944,2026-08-15 20:29:17.079035,IF-006,LEGACY_MAINFRAME,SAP_ECC,MATMAS,SUCCESS,39.0,8.32,0
LOG-0003186,2026-08-15 21:11:09.079035,IF-002,SAP_S4HANA,WMS_MANHATTAN,DESADV,FAILED,138.0,52.13,2
LOG-0003627,2026-08-15 21:13:21.079035,IF-001,SAP_ECC,SFDC_CRM,ORDERS,SUCCESS,56.0,1.82,0
LOG-0001483,2026-08-15 21:14:13.079035,IF-001,SAP_ECC,SFDC_CRM,ORDERS,SUCCESS,29.9,2.88,0
LOG-0004393,2026-08-15 21:33:58.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,SUCCESS,72.4,13.72,0
LOG-0002972,2026-08-15 21:48:32.079035,IF-005,SAP_S4HANA,BTP_APP,OData,RETRY,37.2,30.62,2
LOG-0002377,2026-08-15 22:01:21.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,SUCCESS,64.6,24.53,0
LOG-0001717,2026-08-15 22:02:05.079035,IF-008,SAP_CPI,3PL_PROVIDER,DESADV,SUCCESS,42.6,19.04,0
LOG-0002651,2026-08-15 22:05:03.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,SUCCESS,29.3,2.56,0
LOG-0001115,2026-08-15 22:09:08.079035,IF-001,SAP_ECC,SFDC_CRM,ORDERS,SUCCESS,66.9,19.53,0
LOG-0004414,2026-08-15 22:12:11.079035,IF-001,SAP_ECC,SFDC_CRM,ORDERS,SUCCESS,75.5,9.56,0
LOG-0002484,2026-08-15 22:14:00.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,SUCCESS,38.1,12.47,0
LOG-0002114,2026-08-15 22:21:56.079035,IF-004,SAP_ECC,B2B_VAN_SPS,INVOIC,SUCCESS,62.9,3.54,0
LOG-0000527,2026-08-15 22:29:27.079035,IF-008,SAP_CPI,3PL_PROVIDER,DESADV,SUCCESS,21.8,24.41,0
LOG-0004105,2026-08-15 23:07:17.079035,IF-004,SAP_ECC,B2B_VAN_SPS,INVOIC,SUCCESS,68.4,36.36,0
LOG-0000672,2026-08-15 23:35:19.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,SUCCESS,53.4,2.69,0
LOG-0000552,2026-08-16 00:00:07.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,SUCCESS,59.5,5.36,0
LOG-0004545,2026-08-16 00:09:06.079035,IF-006,LEGACY_MAINFRAME,SAP_ECC,MATMAS,SUCCESS,71.0,4.3,0
LOG-0004117,2026-08-16 00:17:47.079035,IF-008,SAP_CPI,3PL_PROVIDER,DESADV,SUCCESS,74.7,4.82,0
LOG-0004486,2026-08-16 00:26:06.079035,IF-004,SAP_ECC,B2B_VAN_SPS,INVOIC,SUCCESS,43.1,24.56,0
LOG-0003341,2026-08-16 00:30:25.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,FAILED,44.5,14.37,1
LOG-0001982,2026-08-16 00:34:56.079035,IF-001,SAP_ECC,SFDC_CRM,ORDERS,SUCCESS,73.9,0.62,0
LOG-0002486,2026-08-16 00:36:23.079035,IF-008,SAP_CPI,3PL_PROVIDER,DESADV,SUCCESS,60.3,1.49,0
LOG-0003845,2026-08-16 00:54:35.079035,IF-008,SAP_CPI,3PL_PROVIDER,DESADV,SUCCESS,29.5,7.26,0
LOG-0000747,2026-08-16 01:17:41.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,SUCCESS,35.0,5.25,0
LOG-0003543,2026-08-16 01:18:12.079035,IF-005,SAP_S4HANA,BTP_APP,OData,SUCCESS,134.1,1.54,0
LOG-0002436,2026-08-16 01:24:51.079035,IF-005,SAP_S4HANA,BTP_APP,OData,SUCCESS,61.2,35.08,0
LOG-0004014,2026-08-16 01:30:30.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,SUCCESS,16.8,65.98,0
LOG-0001548,2026-08-16 01:51:00.079035,IF-004,SAP_ECC,B2B_VAN_SPS,INVOIC,SUCCESS,73.8,8.87,0
LOG-0000175,2026-08-16 01:51:24.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,SUCCESS,103.7,76.9,0
LOG-0000365,2026-08-16 01:56:53.079035,IF-008,SAP_CPI,3PL_PROVIDER,DESADV,SUCCESS,52.1,8.62,0
LOG-0002962,2026-08-16 01:59:54.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,FAILED,91.5,5.72,1
LOG-0004424,2026-08-16 02:09:23.079035,IF-006,LEGACY_MAINFRAME,SAP_ECC,MATMAS,SUCCESS,67.0,21.61,0
LOG-0001361,2026-08-16 02:09:40.079035,IF-001,SAP_ECC,SFDC_CRM,ORDERS,SUCCESS,40.4,14.39,0
LOG-0003691,2026-08-16 02:26:35.079035,IF-006,LEGACY_MAINFRAME,SAP_ECC,MATMAS,SUCCESS,32.7,15.6,0
LOG-0001006,2026-08-16 02:49:53.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,SUCCESS,67.6,23.45,0
LOG-0000969,2026-08-16 02:49:55.079035,IF-002,SAP_S4HANA,WMS_MANHATTAN,DESADV,SUCCESS,62.9,8.02,0
LOG-0000723,2026-08-16 03:04:17.079035,IF-008,SAP_CPI,3PL_PROVIDER,DESADV,SUCCESS,70.4,30.73,0
LOG-0004561,2026-08-16 03:05:09.079035,IF-001,SAP_ECC,SFDC_CRM,ORDERS,SUCCESS,40.6,1.71,0
LOG-0001740,2026-08-16 03:14:35.079035,IF-004,SAP_ECC,B2B_VAN_SPS,INVOIC,SUCCESS,27.3,2.16,0
LOG-0001855,2026-08-16 03:26:13.079035,IF-004,SAP_ECC,B2B_VAN_SPS,INVOIC,SUCCESS,158.0,4.05,0
LOG-0004675,2026-08-16 03:28:50.079035,IF-004,SAP_ECC,B2B_VAN_SPS,INVOIC,FAILED,68.3,8.45,1
LOG-0001637,2026-08-16 03:35:14.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,SUCCESS,44.0,3.83,0
LOG-0004166,2026-08-16 03:38:36.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,SUCCESS,106.4,10.22,0
LOG-0002514,2026-08-16 03:41:50.079035,IF-005,SAP_S4HANA,BTP_APP,OData,FAILED,74.7,16.13,0
LOG-0004189,2026-08-16 03:50:11.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,SUCCESS,52.3,7.8,0
LOG-0003350,2026-08-16 03:52:03.079035,IF-004,SAP_ECC,B2B_VAN_SPS,INVOIC,SUCCESS,89.9,2.54,0
LOG-0004734,2026-08-16 04:03:43.079035,IF-006,LEGACY_MAINFRAME,SAP_ECC,MATMAS,TIMEOUT,168.8,2.71,1
LOG-0001022,2026-08-16 04:03:54.079035,IF-005,SAP_S4HANA,BTP_APP,OData,SUCCESS,108.9,2.87,0
LOG-0003042,2026-08-16 04:05:34.079035,IF-005,SAP_S4HANA,BTP_APP,OData,SUCCESS,72.5,2.47,0
LOG-0002373,2026-08-16 04:11:02.079035,IF-001,SAP_ECC,SFDC_CRM,ORDERS,SUCCESS,110.4,25.85,0
LOG-0003162,2026-08-16 04:18:29.079035,IF-004,SAP_ECC,B2B_VAN_SPS,INVOIC,SUCCESS,88.3,5.6,0
LOG-0004981,2026-08-16 04:25:47.079035,IF-005,SAP_S4HANA,BTP_APP,OData,SUCCESS,54.9,3.86,0
LOG-0001040,2026-08-16 04:40:45.079035,IF-004,SAP_ECC,B2B_VAN_SPS,INVOIC,TIMEOUT,273.0,9.13,3
LOG-0003798,2026-08-16 04:45:06.079035,IF-004,SAP_ECC,B2B_VAN_SPS,INVOIC,SUCCESS,65.1,5.9,0
LOG-0001758,2026-08-16 04:45:48.079035,IF-006,LEGACY_MAINFRAME,SAP_ECC,MATMAS,SUCCESS,23.8,0.85,0
LOG-0003964,2026-08-16 04:49:28.079035,IF-002,SAP_S4HANA,WMS_MANHATTAN,DESADV,SUCCESS,133.4,24.29,0
LOG-0003618,2026-08-16 05:05:07.079035,IF-004,SAP_ECC,B2B_VAN_SPS,INVOIC,SUCCESS,53.9,3.32,0
LOG-0001506,2026-08-16 05:12:22.079035,IF-006,LEGACY_MAINFRAME,SAP_ECC,MATMAS,SUCCESS,68.4,8.34,0
LOG-0004554,2026-08-16 05:18:57.079035,IF-006,LEGACY_MAINFRAME,SAP_ECC,MATMAS,FAILED,129.9,58.42,1
LOG-0003866,2026-08-16 05:22:25.079035,IF-008,SAP_CPI,3PL_PROVIDER,DESADV,SUCCESS,31.0,3.16,0
LOG-0003885,2026-08-16 05:29:57.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,SUCCESS,50.3,14.67,0
LOG-0004708,2026-08-16 05:44:51.079035,IF-005,SAP_S4HANA,BTP_APP,OData,TIMEOUT,304.6,10.29,0
LOG-0004843,2026-08-16 05:50:03.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,SUCCESS,28.9,51.06,0
LOG-0000516,2026-08-16 06:04:53.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,SUCCESS,41.8,2.26,0
LOG-0000059,2026-08-16 06:09:57.079035,IF-005,SAP_S4HANA,BTP_APP,OData,SUCCESS,55.2,4.08,0
LOG-0003243,2026-08-16 06:10:18.079035,IF-008,SAP_CPI,3PL_PROVIDER,DESADV,SUCCESS,107.8,19.92,0
LOG-0002967,2026-08-16 06:34:11.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,SUCCESS,51.9,4.33,0
LOG-0003352,2026-08-16 07:02:24.079035,IF-002,SAP_S4HANA,WMS_MANHATTAN,DESADV,TIMEOUT,451.6,6.53,2
LOG-0004315,2026-08-16 07:03:37.079035,IF-002,SAP_S4HANA,WMS_MANHATTAN,DESADV,SUCCESS,66.9,12.26,0
LOG-0002182,2026-08-16 07:11:41.079035,IF-001,SAP_ECC,SFDC_CRM,ORDERS,SUCCESS,51.7,2.77,0
LOG-0003477,2026-08-16 07:22:27.079035,IF-002,SAP_S4HANA,WMS_MANHATTAN,DESADV,SUCCESS,23.1,10.69,0
LOG-0000596,2026-08-16 07:23:41.079035,IF-005,SAP_S4HANA,BTP_APP,OData,SUCCESS,495.1,6.22,0
LOG-0002583,2026-08-16 07:24:56.079035,IF-005,SAP_S4HANA,BTP_APP,OData,SUCCESS,68.5,10.66,0
LOG-0001670,2026-08-16 07:37:07.079035,IF-005,SAP_S4HANA,BTP_APP,OData,SUCCESS,57.5,2.31,0
LOG-0000513,2026-08-16 07:39:25.079035,IF-002,SAP_S4HANA,WMS_MANHATTAN,DESADV,SUCCESS,84.4,24.58,0
LOG-0000475,2026-08-16 07:41:23.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,SUCCESS,132.5,1.92,0
LOG-0001593,2026-08-16 07:49:48.079035,IF-008,SAP_CPI,3PL_PROVIDER,DESADV,SUCCESS,94.0,9.04,0
LOG-0004980,2026-08-16 08:16:13.079035,IF-004,SAP_ECC,B2B_VAN_SPS,INVOIC,SUCCESS,70.9,0.87,0
LOG-0002716,2026-08-16 08:16:56.079035,IF-005,SAP_S4HANA,BTP_APP,OData,SUCCESS,89.3,10.13,0
LOG-0002308,2026-08-16 08:58:27.079035,IF-008,SAP_CPI,3PL_PROVIDER,DESADV,SUCCESS,231.6,5.49,0
LOG-0002403,2026-08-16 09:11:57.079035,IF-002,SAP_S4HANA,WMS_MANHATTAN,DESADV,RETRY,122.3,13.44,1
LOG-0002258,2026-08-16 09:14:03.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,SUCCESS,48.0,1.69,0
LOG-0002671,2026-08-16 09:31:43.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,SUCCESS,28.2,6.34,0
LOG-0002013,2026-08-16 09:31:53.079035,IF-004,SAP_ECC,B2B_VAN_SPS,INVOIC,FAILED,183.5,3.61,2
LOG-0002963,2026-08-16 09:37:02.079035,IF-002,SAP_S4HANA,WMS_MANHATTAN,DESADV,SUCCESS,39.4,13.87,0
LOG-0001319,2026-08-16 09:43:22.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,SUCCESS,62.8,7.52,0
LOG-0002760,2026-08-16 09:53:43.079035,IF-001,SAP_ECC,SFDC_CRM,ORDERS,RETRY,411.4,77.8,1
LOG-0002542,2026-08-16 09:54:07.079035,IF-005,SAP_S4HANA,BTP_APP,OData,SUCCESS,43.9,26.84,0
LOG-0003522,2026-08-16 10:24:17.079035,IF-006,LEGACY_MAINFRAME,SAP_ECC,MATMAS,FAILED,77.1,6.74,1
LOG-0000763,2026-08-16 10:25:34.079035,IF-001,SAP_ECC,SFDC_CRM,ORDERS,SUCCESS,42.0,0.85,0
LOG-0003776,2026-08-16 10:40:04.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,SUCCESS,121.3,8.34,0
LOG-0004636,2026-08-16 10:42:55.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,SUCCESS,35.5,13.61,0
LOG-0004686,2026-08-16 10:43:28.079035,IF-006,LEGACY_MAINFRAME,SAP_ECC,MATMAS,SUCCESS,50.1,6.69,0
LOG-0004602,2026-08-16 11:03:24.079035,IF-005,SAP_S4HANA,BTP_APP,OData,SUCCESS,78.7,20.87,0
LOG-0002124,2026-08-16 11:10:48.079035,IF-001,SAP_ECC,SFDC_CRM,ORDERS,SUCCESS,53.3,8.15,0
LOG-0004504,2026-08-16 11:16:57.079035,IF-002,SAP_S4HANA,WMS_MANHATTAN,DESADV,SUCCESS,91.7,5.31,0
LOG-0002883,2026-08-16 11:49:00.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,SUCCESS,101.8,12.97,0
LOG-0004601,2026-08-16 12:04:15.079035,IF-002,SAP_S4HANA,WMS_MANHATTAN,DESADV,RETRY,286.4,6.73,3
LOG-0002744,2026-08-16 12:04:36.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,SUCCESS,195.0,1.63,0
LOG-0002826,2026-08-16 12:07:05.079035,IF-006,LEGACY_MAINFRAME,SAP_ECC,MATMAS,TIMEOUT,56.3,1.82,2
LOG-0000423,2026-08-16 12:14:50.079035,IF-008,SAP_CPI,3PL_PROVIDER,DESADV,SUCCESS,106.4,0.45,0
LOG-0001031,2026-08-16 12:26:49.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,SUCCESS,73.2,6.83,0
LOG-0003653,2026-08-16 12:38:56.079035,IF-005,SAP_S4HANA,BTP_APP,OData,SUCCESS,59.8,2.01,0
LOG-0004155,2026-08-16 12:51:27.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,SUCCESS,62.9,22.48,0
LOG-0000636,2026-08-16 13:09:05.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,SUCCESS,72.8,6.2,0
LOG-0000677,2026-08-16 13:16:01.079035,IF-002,SAP_S4HANA,WMS_MANHATTAN,DESADV,SUCCESS,52.2,4.98,0
LOG-0000366,2026-08-16 13:17:58.079035,IF-002,SAP_S4HANA,WMS_MANHATTAN,DESADV,SUCCESS,22.4,11.1,0
LOG-0001029,2026-08-16 13:20:23.079035,IF-002,SAP_S4HANA,WMS_MANHATTAN,DESADV,SUCCESS,90.0,5.65,0
LOG-0004172,2026-08-16 13:24:05.079035,IF-001,SAP_ECC,SFDC_CRM,ORDERS,SUCCESS,109.8,11.19,0
LOG-0002858,2026-08-16 13:29:21.079035,IF-004,SAP_ECC,B2B_VAN_SPS,INVOIC,SUCCESS,49.4,8.55,0
LOG-0004876,2026-08-16 13:30:28.079035,IF-008,SAP_CPI,3PL_PROVIDER,DESADV,SUCCESS,228.0,7.45,0
LOG-0002903,2026-08-16 13:32:21.079035,IF-006,LEGACY_MAINFRAME,SAP_ECC,MATMAS,SUCCESS,65.0,6.67,0
LOG-0002644,2026-08-16 13:38:20.079035,IF-006,LEGACY_MAINFRAME,SAP_ECC,MATMAS,SUCCESS,49.2,33.09,0
LOG-0003106,2026-08-16 13:41:06.079035,IF-006,LEGACY_MAINFRAME,SAP_ECC,MATMAS,SUCCESS,79.2,5.29,0
LOG-0001497,2026-08-16 13:57:18.079035,IF-002,SAP_S4HANA,WMS_MANHATTAN,DESADV,SUCCESS,63.7,6.28,0
LOG-0000190,2026-08-16 13:59:41.079035,IF-002,SAP_S4HANA,WMS_MANHATTAN,DESADV,SUCCESS,64.3,7.07,0
LOG-0000325,2026-08-16 14:30:05.079035,IF-001,SAP_ECC,SFDC_CRM,ORDERS,RETRY,73.8,19.55,1
LOG-0002640,2026-08-16 14:57:20.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,SUCCESS,103.3,3.1,0
LOG-0001990,2026-08-16 15:00:00.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,SUCCESS,100.4,5.42,0
LOG-0003020,2026-08-16 15:04:24.079035,IF-005,SAP_S4HANA,BTP_APP,OData,SUCCESS,42.8,1.43,0
LOG-0001605,2026-08-16 15:13:49.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,FAILED,83.4,8.38,2
LOG-0001065,2026-08-16 15:19:33.079035,IF-008,SAP_CPI,3PL_PROVIDER,DESADV,RETRY,787.7,1.77,3
LOG-0003329,2026-08-16 15:22:28.079035,IF-008,SAP_CPI,3PL_PROVIDER,DESADV,SUCCESS,84.9,18.93,0
LOG-0001636,2026-08-16 15:31:50.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,SUCCESS,67.2,11.73,0
LOG-0002199,2026-08-16 15:31:52.079035,IF-004,SAP_ECC,B2B_VAN_SPS,INVOIC,SUCCESS,78.4,3.71,0
LOG-0001916,2026-08-16 15:37:14.079035,IF-004,SAP_ECC,B2B_VAN_SPS,INVOIC,SUCCESS,95.4,12.42,0
LOG-0004133,2026-08-16 15:41:08.079035,IF-008,SAP_CPI,3PL_PROVIDER,DESADV,SUCCESS,34.8,16.14,0
LOG-0001071,2026-08-16 15:50:46.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,SUCCESS,87.3,5.26,0
LOG-0000203,2026-08-16 15:52:39.079035,IF-002,SAP_S4HANA,WMS_MANHATTAN,DESADV,SUCCESS,65.1,3.75,0
LOG-0001790,2026-08-16 16:12:18.079035,IF-004,SAP_ECC,B2B_VAN_SPS,INVOIC,SUCCESS,34.2,1.16,0
LOG-0001290,2026-08-16 16:17:10.079035,IF-001,SAP_ECC,SFDC_CRM,ORDERS,RETRY,37.1,20.46,3
LOG-0000801,2026-08-16 16:18:59.079035,IF-005,SAP_S4HANA,BTP_APP,OData,SUCCESS,30.3,3.42,0
LOG-0001887,2026-08-16 16:25:51.079035,IF-005,SAP_S4HANA,BTP_APP,OData,SUCCESS,96.6,8.39,0
LOG-0001844,2026-08-16 16:30:17.079035,IF-001,SAP_ECC,SFDC_CRM,ORDERS,SUCCESS,40.2,10.05,0
LOG-0004933,2026-08-16 16:39:43.079035,IF-001,SAP_ECC,SFDC_CRM,ORDERS,RETRY,31.8,5.13,2
LOG-0000478,2026-08-16 16:59:25.079035,IF-008,SAP_CPI,3PL_PROVIDER,DESADV,SUCCESS,43.6,30.05,0
LOG-0001316,2026-08-16 17:09:19.079035,IF-001,SAP_ECC,SFDC_CRM,ORDERS,SUCCESS,31.8,7.09,0
LOG-0004162,2026-08-16 17:12:53.079035,IF-005,SAP_S4HANA,BTP_APP,OData,SUCCESS,29.1,5.04,0
LOG-0002293,2026-08-16 17:30:51.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,SUCCESS,25.9,1.38,0
LOG-0001600,2026-08-16 17:35:10.079035,IF-008,SAP_CPI,3PL_PROVIDER,DESADV,SUCCESS,80.5,2.7,0
LOG-0003010,2026-08-16 17:43:03.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,RETRY,68.0,14.43,2
LOG-0004680,2026-08-16 17:45:20.079035,IF-008,SAP_CPI,3PL_PROVIDER,DESADV,SUCCESS,42.2,1.72,0
LOG-0002211,2026-08-16 18:04:41.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,SUCCESS,58.1,1.14,0
LOG-0004480,2026-08-16 18:06:56.079035,IF-008,SAP_CPI,3PL_PROVIDER,DESADV,SUCCESS,42.8,4.07,0
LOG-0003358,2026-08-16 18:21:26.079035,IF-001,SAP_ECC,SFDC_CRM,ORDERS,SUCCESS,58.2,6.84,0
LOG-0002586,2026-08-16 18:47:38.079035,IF-002,SAP_S4HANA,WMS_MANHATTAN,DESADV,RETRY,59.3,4.65,3
LOG-0003501,2026-08-16 18:51:39.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,SUCCESS,18.8,4.34,0
LOG-0000341,2026-08-16 18:57:18.079035,IF-004,SAP_ECC,B2B_VAN_SPS,INVOIC,SUCCESS,60.0,5.25,0
LOG-0002971,2026-08-16 19:13:03.079035,IF-004,SAP_ECC,B2B_VAN_SPS,INVOIC,SUCCESS,140.2,6.67,0
LOG-0004305,2026-08-16 19:17:56.079035,IF-006,LEGACY_MAINFRAME,SAP_ECC,MATMAS,FAILED,547.1,2.9,1
LOG-0003113,2026-08-16 19:18:01.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,SUCCESS,122.5,1.89,0
LOG-0003232,2026-08-16 19:33:49.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,SUCCESS,28.1,2.71,0
LOG-0000812,2026-08-16 19:47:10.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,SUCCESS,31.9,8.3,0
