VBELN,ERDAT,AUART,VKORG,VTWEG,SPART,KUNNR,NETWR,WAERK,STATUS
4500000043,2025-05-13,OR,1000,12,00,0000100133,1383.91,USD,Billed
4500000044,2025-10-04,OR,3000,20,02,0000100140,3278.75,USD,Billed
4500000045,2026-02-07,OR,3000,12,01,0000100185,7.32,USD,Billed
4500000046,2025-01-12,OR,2000,20,00,0000100129,72.85,USD,Billed
4500000047,2026-05-26,ZOR,1000,20,00,0000100071,109.44,USD,Billed
4500000048,2026-04-06,OR,3000,20,01,0000100192,1604.74,USD,Billed
4500000049,2024-10-19,OR,3000,20,01,0000100107,2080.65,USD,Billed
4500000050,2025-11-19,OR,1000,12,00,0000100076,6214.56,USD,Billed
4500000051,2025-06-09,OR,1000,12,00,0000100134,4616.67,USD,Billed
4500000052,2025-01-26,OR,1000,12,00,0000100062,1298.59,USD,Billed
4500000053,2025-11-28,OR,2000,10,01,0000100073,50.32,USD,Billed
4500000054,2026-08-22,OR,1000,12,00,0000100051,5856.6,USD,Billed
4500000055,2025-10-21,OR,1000,10,00,0000100106,336.69,USD,Billed
4500000056,2024-12-04,OR,1000,12,00,0000100118,3189.67,USD,Billed
4500000057,2025-09-09,OR,1000,20,00,0000100053,6008.77,USD,Billed
4500000058,2026-04-05,OR,2000,20,00,0000100182,6111.98,USD,Billed
4500000059,2026-08-12,OR,3000,10,01,0000100040,129.77,USD,Billed
4500000060,2026-02-17,OR,2000,10,00,0000100122,9453.83,USD,Billed
4500000061,2024-10-13,OR,3000,20,02,0000100052,186.29,USD,Billed
4500000062,2026-08-20,RE,1000,20,01,0000100054,5150.72,USD,Billed
4500000063,2025-11-26,CS,1000,10,01,0000100045,444.62,USD,Billed
4500000064,2024-11-13,OR,1000,12,01,0000100171,2816.34,USD,Billed
4500000065,2024-12-14,OR,2000,20,02,0000100160,3086.0,USD,Billed
4500000066,2024-11-15,OR,3000,12,01,0000100044,2400.48,USD,Billed
4500000067,2026-01-11,OR,2000,20,00,0000100180,7480.99,USD,Billed
4500000068,2025-01-03,OR,1000,20,02,0000100128,3750.24,USD,Billed
4500000069,2026-04-26,OR,2000,10,02,0000100164,370.8,USD,Billed
4500000070,2024-12-01,CS,1000,10,00,0000100089,68.24,USD,Billed
4500000071,2025-10-09,ZOR,3000,12,00,0000100154,15115.07,USD,Billed
4500000072,2025-08-02,OR,3000,10,00,0000100137,230.58,USD,Billed
4500000073,2024-10-10,OR,2000,20,00,0000100034,354.06,USD,Billed
4500000074,2024-09-14,OR,2000,20,00,0000100028,1149.6,USD,Billed
4500000075,2026-07-05,ZOR,1000,10,01,0000100196,3893.04,USD,Billed
4500000076,2026-08-27,RE,2000,10,02,0000100025,1334.46,USD,Billed
4500000077,2024-12-12,OR,2000,20,01,0000100102,2405.7,USD,Billed
4500000078,2026-03-03,OR,2000,20,00,0000100149,939.47,USD,Billed
4500000079,2026-09-06,OR,1000,10,01,0000100040,1640.86,USD,Billed
4500000080,2026-07-05,RE,1000,10,02,0000100020,1561.71,USD,Billed
4500000081,2026-06-21,OR,1000,20,01,0000100089,728.16,USD,Billed
4500000082,2025-05-17,OR,2000,20,02,0000100063,4910.39,USD,Billed
4500000083,2026-02-19,OR,3000,12,00,0000100133,1028.63,USD,Billed
4500000084,2025-09-12,OR,1000,10,01,0000100128,330.74,USD,Billed
4500000085,2026-07-30,RE,2000,20,00,0000100084,302.82,USD,Billed
4500000086,2026-02-08,RE,3000,10,02,0000100041,1390.17,USD,Billed
4500000087,2026-05-22,ZOR,3000,20,02,0000100130,1722.27,USD,Billed
4500000088,2026-06-01,OR,3000,20,00,0000100049,474.92,USD,Billed
4500000089,2025-06-21,OR,1000,12,00,0000100066,1310.45,USD,Billed
4500000090,2026-02-15,OR,1000,10,01,0000100141,938.16,USD,Billed
4500000091,2024-11-19,OR,2000,10,00,0000100058,2050.05,USD,Billed
4500000092,2025-02-10,OR,1000,12,01,0000100147,3090.11,USD,Billed
4500000093,2026-07-29,ZOR,3000,20,00,0000100038,2050.2,USD,Billed
4500000094,2025-07-05,ZOR,2000,10,00,0000100036,1307.53,USD,Billed
4500000095,2026-01-26,OR,1000,12,02,0000100031,587.44,USD,Billed
4500000096,2025-11-07,OR,2000,10,01,0000100064,1144.6,USD,Billed
4500000097,2025-03-22,OR,3000,20,00,0000100006,341.47,USD,Billed
4500000098,2025-11-15,OR,1000,20,00,0000100002,1703.8,USD,Cancelled
4500000099,2026-07-12,OR,1000,10,01,0000100166,2169.93,USD,Billed
4500000100,2025-05-10,OR,3000,20,00,0000100150,2117.77,USD,Billed
4500000101,2025-05-24,ZOR,2000,20,00,0000100013,77.77,USD,Cancelled
4500000102,2025-01-26,OR,2000,20,02,0000100057,4960.08,USD,Billed
4500000103,2025-01-20,OR,3000,20,02,0000100155,3026.18,USD,Billed
4500000104,2026-05-10,OR,3000,12,01,0000100113,351.77,USD,Billed
4500000105,2026-02-11,OR,1000,12,00,0000100034,1827.99,USD,Billed
4500000106,2026-08-19,ZOR,1000,20,02,0000100157,374.2,USD,Billed
4500000107,2026-01-15,OR,3000,10,00,0000100191,919.1,USD,Cancelled
4500000108,2026-08-14,OR,1000,20,00,0000100121,1364.63,USD,Billed
4500000109,2025-02-22,RE,2000,10,00,0000100138,1539.88,USD,Billed
4500000110,2025-01-28,OR,3000,12,00,0000100102,148.05,USD,Billed
4500000111,2025-02-18,OR,1000,20,01,0000100045,2010.15,USD,Billed
4500000112,2025-06-20,OR,2000,12,00,0000100136,40.08,USD,Billed
4500000113,2026-09-06,ZOR,1000,20,01,0000100092,2007.92,USD,In Process
4500000114,2025-02-24,OR,1000,10,00,0000100014,3229.77,USD,Billed
4500000115,2025-08-14,OR,1000,20,01,0000100154,664.46,USD,Billed
4500000116,2024-10-27,CS,1000,12,01,0000100057,7516.93,USD,Billed
4500000117,2024-10-02,OR,3000,20,00,0000100061,40.84,USD,Billed
4500000118,2025-10-16,OR,3000,12,00,0000100133,1081.58,USD,Cancelled
4500000119,2025-12-05,OR,3000,10,00,0000100142,2897.57,USD,Billed
4500000120,2025-09-21,OR,1000,12,00,0000100168,2568.95,USD,Billed
4500000121,2026-07-13,OR,3000,20,01,0000100081,496.81,USD,Billed
4500000122,2026-06-04,OR,2000,10,00,0000100184,2039.7,USD,Billed
4500000123,2026-08-09,CS,2000,10,00,0000100019,1056.38,USD,Cancelled
4500000124,2025-11-10,OR,2000,20,01,0000100011,403.2,USD,Billed
4500000125,2025-03-24,OR,1000,20,01,0000100048,1102.94,USD,Billed
4500000126,2024-12-16,CS,2000,20,01,0000100054,4670.51,USD,Billed
4500000127,2026-03-25,OR,2000,10,02,0000100173,2671.85,USD,Billed
4500000128,2025-01-04,OR,3000,10,00,0000100040,10618.26,USD,Billed
4500000129,2024-09-17,RE,3000,10,02,0000100074,964.44,USD,Billed
4500000130,2026-02-06,RE,3000,12,00,0000100005,2059.53,USD,Billed
4500000131,2024-12-13,OR,2000,12,02,0000100103,2889.45,USD,Billed
4500000132,2025-12-12,OR,3000,10,00,0000100190,351.12,USD,Billed
4500000133,2025-02-06,OR,1000,10,02,0000100172,530.18,USD,Billed
4500000134,2025-07-20,OR,1000,20,00,0000100130,2110.83,USD,Billed
4500000135,2024-09-23,OR,2000,12,00,0000100068,7125.36,USD,Billed
4500000136,2025-06-14,OR,3000,20,02,0000100048,152.79,USD,Billed
4500000137,2025-05-11,OR,2000,20,02,0000100014,562.08,USD,Billed
4500000138,2025-03-22,OR,3000,12,00,0000100136,1666.35,USD,Billed
4500000139,2024-12-19,OR,3000,10,02,0000100083,762.8,USD,Cancelled
4500000140,2025-11-07,OR,3000,20,00,0000100039,338.12,USD,Billed
4500000141,2026-02-01,OR,2000,12,02,0000100082,5450.05,USD,Billed
4500000142,2025-02-05,OR,2000,12,00,0000100095,389.84,USD,Billed
4500000143,2024-10-15,OR,3000,20,02,0000100090,2179.48,USD,Cancelled
4500000144,2025-03-28,OR,1000,20,00,0000100071,11884.46,USD,Billed
4500000145,2026-02-06,OR,3000,10,02,0000100136,2064.3,USD,Billed
4500000146,2025-03-31,OR,1000,10,02,0000100183,928.55,USD,Billed
4500000147,2025-12-30,OR,3000,12,02,0000100111,3861.37,USD,Billed
4500000148,2024-11-05,OR,2000,10,01,0000100009,3568.14,USD,Cancelled
4500000149,2026-02-09,OR,3000,10,02,0000100049,6568.76,USD,Billed
4500000150,2024-12-25,OR,2000,10,02,0000100187,2882.19,USD,Billed
4500000151,2025-02-23,OR,2000,10,01,0000100197,802.48,USD,Billed
4500000152,2026-02-28,OR,1000,12,00,0000100129,59.74,USD,Billed
4500000153,2025-08-26,OR,1000,20,01,0000100106,10234.32,USD,Billed
4500000154,2025-12-25,OR,1000,10,01,0000100028,7432.32,USD,Billed
4500000155,2025-04-10,OR,2000,12,02,0000100063,3842.62,USD,Billed
4500000156,2026-01-14,OR,3000,12,00,0000100192,215.27,USD,Billed
4500000157,2025-04-19,OR,2000,20,01,0000100068,1772.91,USD,Billed
4500000158,2025-08-30,OR,3000,12,00,0000100117,1689.51,USD,Billed
4500000159,2025-08-03,OR,3000,12,00,0000100153,4396.63,USD,Billed
4500000160,2026-07-11,OR,3000,10,01,0000100182,4436.34,USD,Billed
4500000161,2026-03-16,OR,1000,12,02,0000100114,1448.4,USD,Billed
4500000162,2025-10-18,OR,2000,20,02,0000100062,2569.57,USD,Billed
4500000163,2026-05-23,OR,2000,12,01,0000100153,2156.05,USD,Billed
4500000164,2025-12-02,OR,3000,10,01,0000100144,497.12,USD,Billed
4500000165,2026-02-24,OR,2000,20,01,0000100086,1573.39,USD,Billed
4500000166,2025-09-26,OR,1000,20,01,0000100155,3850.86,USD,Billed
4500000167,2025-11-07,OR,3000,20,00,0000100003,3624.34,USD,Billed
4500000168,2025-02-16,OR,3000,20,00,0000100180,3690.24,USD,Billed
4500000169,2026-07-25,OR,1000,20,00,0000100022,5401.81,USD,Billed
4500000170,2025-12-24,RE,2000,12,02,0000100081,1171.94,USD,Billed
4500000171,2026-05-05,OR,3000,20,00,0000100175,1439.33,USD,Billed
4500000172,2025-11-30,ZOR,1000,12,00,0000100173,861.94,USD,Billed
4500000173,2024-10-01,OR,2000,12,00,0000100080,1552.15,USD,Billed
4500000174,2024-12-01,OR,1000,20,02,0000100011,2740.4,USD,Billed
4500000175,2026-06-19,OR,2000,10,00,0000100059,120.98,USD,Billed
4500000176,2026-02-06,OR,3000,20,02,0000100117,4971.8,USD,Billed
4500000177,2026-07-06,OR,2000,12,01,0000100059,2937.07,USD,Billed
4500000178,2026-06-28,OR,1000,10,02,0000100104,930.12,USD,Billed
4500000179,2025-03-01,OR,2000,12,02,0000100055,274.52,USD,Billed
4500000180,2026-09-03,ZOR,2000,20,01,0000100145,2176.25,USD,Billed
4500000181,2025-12-03,OR,1000,10,01,0000100140,2524.5,USD,Billed
4500000182,2026-02-28,ZOR,2000,12,01,0000100115,825.93,USD,Billed
4500000183,2025-09-25,OR,1000,10,00,0000100002,540.73,USD,Billed
4500000184,2025-03-19,OR,1000,10,01,0000100089,4357.28,USD,Billed
4500000185,2025-09-03,OR,2000,12,00,0000100116,184.2,USD,Billed
4500000186,2025-08-16,OR,1000,12,00,0000100094,2513.62,USD,Billed
4500000187,2025-04-18,OR,3000,12,02,0000100046,2994.86,USD,Billed
4500000188,2025-05-20,OR,2000,12,02,0000100083,2567.15,USD,Billed
4500000189,2025-08-02,CS,2000,20,01,0000100045,3637.23,USD,Billed
4500000190,2025-03-26,OR,1000,12,00,0000100010,4084.78,USD,Billed
4500000191,2024-12-23,OR,3000,12,00,0000100072,997.36,USD,Billed
4500000192,2026-04-23,RE,1000,12,01,0000100125,968.24,USD,Billed
4500000193,2025-06-01,RE,3000,20,02,0000100138,4181.15,USD,Billed
4500000194,2025-06-06,OR,1000,10,00,0000100005,1676.7,USD,Billed
4500000195,2026-04-08,OR,3000,12,02,0000100042,340.29,USD,Billed
4500000196,2026-02-05,OR,1000,12,01,0000100079,1243.56,USD,Billed
4500000197,2025-08-06,CS,2000,10,02,0000100123,2222.06,USD,Billed
4500000198,2025-04-27,OR,1000,20,02,0000100041,5601.34,USD,Billed
4500000199,2026-04-17,OR,1000,10,01,0000100184,1224.08,USD,Billed
4500000200,2025-03-04,CS,3000,10,02,0000100181,2934.62,USD,Billed
4500000201,2025-08-17,CS,3000,10,00,0000100148,1113.88,USD,Billed
4500000202,2025-06-13,OR,2000,10,00,0000100056,862.2,USD,Billed
4500000203,2026-09-10,CS,1000,12,01,0000100097,2156.69,USD,In Process
4500000204,2025-03-07,OR,2000,10,01,0000100062,638.84,USD,Cancelled
4500000205,2025-11-20,OR,1000,10,00,0000100056,19828.11,USD,Billed
4500000206,2025-10-03,RE,2000,12,00,0000100186,1902.13,USD,Billed
4500000207,2024-10-18,CS,3000,10,01,0000100038,793.15,USD,Billed
4500000208,2025-01-23,OR,3000,12,00,0000100081,1533.87,USD,Billed
4500000209,2026-06-22,OR,2000,20,01,0000100057,80.5,USD,Billed
4500000210,2026-04-12,OR,1000,10,00,0000100171,789.75,USD,Billed
4500000211,2025-02-16,OR,3000,12,02,0000100179,623.0,USD,Billed
4500000212,2025-01-21,CS,1000,10,02,0000100081,882.67,USD,Billed
4500000213,2026-07-30,OR,1000,12,02,0000100062,2488.16,USD,Billed
4500000214,2025-11-17,OR,2000,20,00,0000100181,1530.39,USD,Billed
4500000215,2026-02-18,OR,2000,20,02,0000100000,3098.84,USD,Billed
4500000216,2026-07-08,OR,3000,12,00,0000100129,3425.8,USD,Billed
4500000217,2025-03-22,OR,2000,12,00,0000100068,3045.96,USD,Billed
4500000218,2025-09-13,OR,2000,20,00,0000100199,3583.38,USD,Billed
4500000219,2026-07-12,OR,1000,10,01,0000100097,875.2,USD,Billed
4500000220,2025-01-27,OR,1000,20,02,0000100161,4780.67,USD,Billed
4500000221,2025-03-18,OR,3000,10,00,0000100062,4475.21,USD,Billed
4500000222,2026-06-19,OR,3000,10,01,0000100185,1198.89,USD,Billed
4500000223,2026-05-21,OR,2000,10,00,0000100162,2453.35,USD,Billed
4500000224,2025-09-24,OR,3000,10,02,0000100156,5290.25,USD,Billed
4500000225,2024-12-19,OR,3000,10,02,0000100062,4299.16,USD,Billed
4500000226,2026-05-15,OR,1000,20,00,0000100181,6529.48,USD,Billed
4500000227,2025-04-26,OR,3000,10,02,0000100073,1871.38,USD,Billed
4500000228,2026-03-20,OR,3000,10,00,0000100036,508.05,USD,Billed
4500000229,2025-03-18,OR,2000,12,00,0000100008,3492.1,USD,Billed
4500000230,2025-01-03,OR,3000,12,01,0000100182,2107.73,USD,Billed
4500000231,2026-02-01,OR,2000,12,01,0000100035,1417.32,USD,Billed
4500000232,2025-06-27,OR,2000,10,02,0000100065,2811.02,USD,Billed
4500000233,2025-06-14,OR,3000,12,00,0000100052,4993.38,USD,Billed
4500000234,2025-07-31,OR,2000,10,00,0000100148,9148.79,USD,Billed
4500000235,2025-08-14,OR,1000,10,01,0000100045,713.84,USD,Billed
4500000236,2025-08-23,OR,2000,20,00,0000100198,1201.58,USD,Billed
4500000237,2025-12-30,ZOR,1000,10,02,0000100111,2584.74,USD,Billed
4500000238,2024-11-29,OR,2000,20,02,0000100027,444.96,USD,Billed
4500000239,2026-01-19,OR,1000,10,01,0000100177,732.84,USD,Billed
4500000240,2025-09-03,OR,3000,12,02,0000100144,21.36,USD,Billed
4500000241,2026-05-04,OR,3000,10,00,0000100134,416.47,USD,Billed
4500000242,2025-04-10,OR,3000,20,00,0000100024,2208.47,USD,Billed
4500000243,2026-01-13,OR,2000,12,01,0000100094,876.0,USD,Billed
4500000244,2025-02-10,OR,1000,10,01,0000100112,5411.59,USD,Billed
4500000245,2026-02-05,OR,1000,20,00,0000100130,2566.84,USD,Billed
4500000246,2026-01-23,OR,1000,12,01,0000100139,5405.22,USD,Billed
4500000247,2025-10-15,OR,2000,20,01,0000100025,222.54,USD,Billed
4500000248,2025-08-29,CS,3000,12,02,0000100078,275.69,USD,Billed
4500000249,2026-08-08,OR,1000,12,02,0000100116,1743.68,USD,Billed
4500000250,2025-06-02,OR,1000,20,01,0000100177,878.59,USD,Billed
4500000251,2024-11-12,OR,2000,10,01,0000100199,2662.6,USD,Billed
4500000252,2025-05-12,OR,2000,12,02,0000100180,1623.81,USD,Billed
4500000253,2024-10-14,RE,2000,20,01,0000100138,1231.31,USD,Billed
4500000254,2026-06-26,OR,1000,10,00,0000100155,194.22,USD,Billed
4500000255,2026-05-16,OR,3000,10,02,0000100117,2158.5,USD,Billed
4500000256,2025-01-26,RE,3000,20,02,0000100021,4381.94,USD,Billed
4500000257,2025-12-16,CS,2000,12,00,0000100039,4267.27,USD,Billed
4500000258,2025-02-09,OR,2000,20,01,0000100051,951.82,USD,Billed
4500000259,2026-05-31,OR,3000,12,01,0000100031,1604.41,USD,Billed
4500000260,2025-07-12,OR,3000,20,01,0000100098,146.21,USD,Billed
4500000261,2024-10-26,OR,2000,12,01,0000100078,2212.96,USD,Billed
4500000262,2025-12-20,OR,3000,10,01,0000100048,700.35,USD,Billed
4500000263,2024-11-12,ZOR,2000,12,01,0000100157,578.0,USD,Billed
4500000264,2026-06-28,OR,1000,20,02,0000100051,862.88,USD,Billed
4500000265,2026-07-23,OR,2000,12,01,0000100065,5006.96,USD,Billed
4500000266,2025-12-05,ZOR,1000,12,00,0000100045,493.97,USD,Billed
4500000267,2025-03-10,OR,1000,10,01,0000100058,7614.52,USD,Billed
4500000268,2026-04-02,OR,1000,12,01,0000100167,147.12,USD,Billed
4500000269,2024-10-11,OR,3000,12,00,0000100079,415.87,USD,Billed
4500000270,2024-12-03,OR,2000,12,02,0000100001,3658.41,USD,Billed
4500000271,2025-04-23,OR,3000,20,02,0000100083,2630.42,USD,Billed
4500000272,2024-11-04,OR,1000,12,01,0000100038,1261.52,USD,Billed
4500000273,2026-06-13,OR,2000,20,02,0000100188,910.38,USD,Billed
4500000274,2026-01-14,OR,3000,12,01,0000100184,5845.5,USD,Billed
4500000275,2026-04-26,OR,1000,10,00,0000100018,5716.46,USD,Billed
4500000276,2026-01-06,OR,3000,12,02,0000100137,32.4,USD,Billed
4500000277,2025-02-24,OR,3000,20,02,0000100184,700.35,USD,Billed
4500000278,2025-04-04,OR,3000,10,02,0000100037,37.51,USD,Billed
4500000279,2025-12-01,CS,1000,10,00,0000100176,824.31,USD,Billed
4500000280,2026-04-14,OR,2000,20,01,0000100005,2222.48,USD,Cancelled
4500000281,2025-12-14,OR,1000,12,02,0000100091,2816.81,USD,Billed
4500000282,2025-05-05,OR,3000,10,01,0000100121,2631.85,USD,Billed
4500000283,2026-04-20,OR,1000,20,00,0000100132,955.08,USD,Billed
4500000284,2025-07-09,OR,2000,10,01,0000100021,1869.59,USD,Billed
4500000285,2025-12-15,OR,2000,20,01,0000100112,2042.91,USD,Billed
4500000286,2026-05-27,ZOR,1000,10,01,0000100026,7069.88,USD,Billed
4500000287,2026-01-11,OR,1000,12,01,0000100101,6324.54,USD,Billed
4500000288,2025-08-14,OR,2000,12,02,0000100167,416.36,USD,Cancelled
4500000289,2025-11-18,OR,2000,10,00,0000100119,353.16,USD,Billed
4500000290,2025-02-09,ZOR,1000,12,02,0000100110,1642.74,USD,Billed
4500000291,2025-07-29,OR,3000,20,00,0000100045,580.8,USD,Billed
4500000292,2026-05-14,OR,3000,10,02,0000100171,1194.2,USD,Cancelled
4500000293,2025-09-02,OR,1000,20,01,0000100126,2184.41,USD,Billed
4500000294,2024-09-25,OR,2000,10,00,0000100025,1254.9,USD,Billed
4500000295,2026-05-01,OR,3000,20,00,0000100044,501.36,USD,Billed
4500000296,2025-01-03,OR,3000,10,02,0000100144,3170.82,USD,Billed
4500000297,2024-10-06,OR,3000,10,02,0000100143,4789.8,USD,Billed
4500000298,2025-11-09,OR,2000,12,01,0000100086,810.59,USD,Billed
4500000299,2026-03-28,OR,3000,20,00,0000100020,2658.88,USD,Billed
4500000300,2024-12-04,OR,3000,12,02,0000100134,1985.84,USD,Billed
4500000301,2025-08-03,OR,1000,10,01,0000100128,2841.32,USD,Cancelled
4500000302,2025-08-16,OR,1000,12,00,0000100127,9753.43,USD,Billed
4500000303,2024-12-11,OR,1000,20,01,0000100162,5042.75,USD,Billed
4500000304,2025-12-16,OR,2000,20,02,0000100139,799.45,USD,Billed
4500000305,2025-03-15,OR,3000,20,00,0000100092,1631.86,USD,Billed
4500000306,2026-01-31,OR,1000,12,00,0000100099,6093.36,USD,Billed
4500000307,2025-09-15,OR,1000,10,02,0000100053,68.46,USD,Billed
4500000308,2025-10-01,ZOR,3000,12,00,0000100003,830.12,USD,Billed
4500000309,2025-02-28,OR,3000,10,00,0000100046,4633.77,USD,Billed
4500000310,2026-03-24,OR,2000,12,01,0000100106,4120.46,USD,Billed
4500000311,2024-09-21,ZOR,1000,20,01,0000100122,2348.08,USD,Billed
4500000312,2025-04-29,OR,2000,20,02,0000100156,1970.99,USD,Billed
4500000313,2024-11-26,CS,3000,10,01,0000100012,1782.33,USD,Billed
4500000314,2024-11-14,RE,2000,10,00,0000100192,974.07,USD,Billed
4500000315,2024-09-20,OR,2000,10,01,0000100072,1051.9,USD,Billed
4500000316,2025-09-30,OR,1000,10,00,0000100178,1159.36,USD,Billed
4500000317,2024-11-04,OR,1000,12,00,0000100062,894.18,USD,Billed
4500000318,2024-12-05,OR,3000,12,01,0000100111,1859.29,USD,Billed
4500000319,2025-07-26,RE,3000,10,01,0000100149,3567.66,USD,Billed
4500000320,2026-01-23,RE,1000,12,00,0000100131,1002.04,USD,Billed
4500000321,2025-02-07,OR,1000,12,00,0000100120,2503.05,USD,Billed
4500000322,2026-01-06,OR,2000,10,01,0000100184,1006.67,USD,Billed
4500000323,2025-10-25,OR,3000,12,00,0000100110,3136.46,USD,Billed
4500000324,2026-07-20,OR,3000,10,01,0000100069,1212.8,USD,Billed
4500000325,2026-04-28,ZOR,3000,12,00,0000100081,1925.53,USD,Billed
4500000326,2026-09-07,OR,1000,20,02,0000100160,5754.09,USD,Billed
4500000327,2025-06-01,OR,2000,20,01,0000100198,1565.22,USD,Billed
4500000328,2026-06-22,OR,1000,12,02,0000100008,1588.74,USD,Billed
4500000329,2025-05-05,OR,1000,10,02,0000100140,1483.1,USD,Billed
4500000330,2025-04-07,OR,3000,20,00,0000100175,101.85,USD,Billed
4500000331,2025-07-21,ZOR,2000,10,01,0000100102,2018.91,USD,Billed
4500000332,2024-09-29,ZOR,3000,12,00,0000100022,6614.16,USD,Billed
4500000333,2026-02-23,OR,3000,10,02,0000100078,2168.8,USD,Billed
4500000334,2024-11-16,ZOR,2000,20,02,0000100181,841.58,USD,Billed
4500000335,2025-12-04,ZOR,2000,20,02,0000100123,45.32,USD,Billed
4500000336,2024-10-26,OR,2000,20,02,0000100122,1767.1,USD,Billed
4500000337,2025-07-22,ZOR,2000,10,01,0000100102,1166.74,USD,Billed
4500000338,2025-03-16,RE,1000,10,01,0000100040,5116.48,USD,Billed
4500000339,2026-08-04,ZOR,2000,12,02,0000100102,3060.3,USD,Billed
4500000340,2025-04-19,OR,1000,12,00,0000100134,4139.97,USD,Billed
4500000341,2025-05-31,OR,3000,20,02,0000100023,2383.88,USD,Billed
4500000342,2025-04-25,OR,1000,10,00,0000100064,926.56,USD,Billed
4500000343,2024-12-13,OR,2000,12,02,0000100034,23.1,USD,Billed
4500000344,2025-12-27,OR,2000,20,01,0000100119,1336.09,USD,Billed
4500000345,2025-04-22,OR,3000,10,02,0000100157,2665.15,USD,Billed
4500000346,2025-03-30,OR,1000,20,02,0000100080,1408.3,USD,Billed
4500000347,2025-04-29,OR,2000,12,01,0000100126,732.69,USD,Billed
4500000348,2025-05-29,OR,3000,12,01,0000100018,11465.78,USD,Billed
4500000349,2026-04-16,OR,1000,12,00,0000100158,1642.89,USD,Billed
4500000350,2025-02-18,OR,2000,10,00,0000100134,1465.4,USD,Billed
4500000351,2024-12-12,OR,1000,10,00,0000100050,491.95,USD,Billed
4500000352,2025-05-12,CS,1000,12,00,0000100042,5524.93,USD,Billed
4500000353,2025-11-03,OR,2000,10,00,0000100083,720.0,USD,Billed
4500000354,2025-04-07,OR,3000,10,00,0000100116,1332.07,USD,Billed
4500000355,2024-12-02,OR,2000,12,01,0000100175,74.8,USD,Billed
