VBELN,POSNR,MATNR,WERKS,KWMENG,NETPR,NETWR
4500000036,10,0000900272,1010,7,11.4,79.8
4500000036,20,0000900084,1000,15,9.74,146.1
4500000036,30,0000900065,1000,13,16.47,214.11
4500000036,40,0000900081,1000,36,24.73,890.28
4500000037,10,0000900103,2000,42,16.9,709.8
4500000037,20,0000900259,1020,47,6.45,303.15
4500000037,30,0000900157,2000,34,96.28,3273.52
4500000038,10,0000900133,2010,7,46.03,322.21
4500000038,20,0000900062,2000,48,26.01,1248.48
4500000039,10,0000900037,1000,22,8.35,183.7
4500000039,20,0000900101,1010,20,120.0,2400.0
4500000039,30,0000900006,2000,1,7.12,7.12
4500000039,40,0000900255,1000,3,103.56,310.68
4500000040,10,0000900106,1000,17,12.01,204.17
4500000040,20,0000900297,1020,31,3.74,115.94
4500000040,30,0000900205,1020,22,30.72,675.84
4500000040,40,0000900098,1010,5,20.69,103.45
4500000041,10,0000900248,2010,30,23.7,711.0
4500000041,20,0000900060,1010,49,19.17,939.33
4500000041,30,0000900115,2000,28,41.65,1166.2
4500000041,40,0000900065,1000,39,16.07,626.73
4500000042,10,0000900022,1010,29,3.12,90.48
4500000042,20,0000900192,1000,38,9.88,375.44
4500000042,30,0000900069,1020,27,15.59,420.93
4500000042,40,0000900255,1000,35,107.58,3765.3
4500000043,10,0000900222,1020,3,158.75,476.25
4500000043,20,0000900125,2000,4,5.72,22.88
4500000043,30,0000900013,2000,26,34.03,884.78
4500000044,10,0000900191,2000,15,93.55,1403.25
4500000044,20,0000900069,1020,44,14.23,626.12
4500000044,30,0000900161,1010,22,56.79,1249.38
4500000045,10,0000900230,1010,4,1.83,7.32
4500000046,10,0000900014,2000,31,2.35,72.85
4500000047,10,0000900002,2010,19,5.76,109.44
4500000048,10,0000900177,1020,1,2.22,2.22
4500000048,20,0000900161,1010,3,57.69,173.07
4500000048,30,0000900199,2000,37,35.31,1306.47
4500000048,40,0000900229,1010,43,2.86,122.98
4500000049,10,0000900044,2000,30,18.9,567.0
4500000049,20,0000900195,1000,17,7.47,126.99
4500000049,30,0000900009,2000,3,41.31,123.93
4500000049,40,0000900056,1020,49,25.77,1262.73
4500000050,10,0000900253,1020,7,19.5,136.5
4500000050,20,0000900013,2000,40,30.34,1213.6
4500000050,30,0000900053,1000,23,17.0,391.0
4500000050,40,0000900211,1020,47,95.18,4473.46
4500000051,10,0000900157,2000,47,91.55,4302.85
4500000051,20,0000900084,1000,34,9.23,313.82
4500000052,10,0000900288,1020,33,31.81,1049.73
4500000052,20,0000900281,1000,23,10.82,248.86
4500000053,10,0000900285,1020,37,1.36,50.32
4500000054,10,0000900187,1000,42,71.59,3006.78
4500000054,20,0000900293,1000,15,28.58,428.7
4500000054,30,0000900155,2000,23,92.88,2136.24
4500000054,40,0000900272,1010,24,11.87,284.88
4500000055,10,0000900028,1010,39,7.71,300.69
4500000055,20,0000900023,2000,6,6.0,36.0
4500000056,10,0000900125,2000,21,5.43,114.03
4500000056,20,0000900007,1020,18,160.93,2896.74
4500000056,30,0000900199,2000,5,35.78,178.9
4500000057,10,0000900138,1010,11,31.27,343.97
4500000057,20,0000900130,1020,25,143.45,3586.25
4500000057,30,0000900201,1020,31,67.05,2078.55
4500000058,10,0000900234,1010,38,3.88,147.44
4500000058,20,0000900094,2010,34,6.84,232.56
4500000058,30,0000900029,2000,38,3.41,129.58
4500000058,40,0000900101,1010,47,119.2,5602.4
4500000059,10,0000900105,1020,5,21.67,108.35
4500000059,20,0000900066,1010,1,11.94,11.94
4500000059,30,0000900270,1000,1,9.48,9.48
4500000060,10,0000900182,2010,35,81.29,2845.15
4500000060,20,0000900036,2000,28,19.45,544.6
4500000060,30,0000900155,2000,44,91.71,4035.24
4500000060,40,0000900250,2010,44,46.11,2028.84
4500000061,10,0000900159,1010,17,5.83,99.11
4500000061,20,0000900250,2010,2,43.59,87.18
4500000062,10,0000900157,2000,32,89.56,2865.92
4500000062,20,0000900155,2000,24,95.2,2284.8
4500000063,10,0000900270,1000,47,9.46,444.62
4500000064,10,0000900266,1000,1,101.44,101.44
4500000064,20,0000900244,1020,34,79.85,2714.9
4500000065,10,0000900121,2010,6,15.07,90.42
4500000065,20,0000900000,1000,17,7.38,125.46
4500000065,30,0000900134,1000,44,65.23,2870.12
4500000066,10,0000900049,1010,16,150.03,2400.48
4500000067,10,0000900025,2010,20,87.92,1758.4
4500000067,20,0000900046,1020,35,12.57,439.95
4500000067,30,0000900214,2000,36,146.74,5282.64
4500000068,10,0000900033,1000,39,49.6,1934.4
4500000068,20,0000900218,2010,39,46.56,1815.84
4500000069,10,0000900261,1020,30,12.36,370.8
4500000070,10,0000900065,1000,4,17.06,68.24
4500000071,10,0000900242,1010,36,148.56,5348.16
4500000071,20,0000900129,2000,34,284.36,9668.24
4500000071,30,0000900094,2010,13,7.59,98.67
4500000072,10,0000900154,2010,21,10.98,230.58
4500000073,10,0000900203,1020,42,8.43,354.06
4500000074,10,0000900209,1000,48,23.95,1149.6
4500000075,10,0000900091,2000,19,129.72,2464.68
4500000075,20,0000900081,1000,45,23.7,1066.5
4500000075,30,0000900011,2010,37,9.78,361.86
4500000076,10,0000900238,1020,24,7.3,175.2
4500000076,20,0000900168,2000,3,41.89,125.67
4500000076,30,0000900226,1000,37,18.43,681.91
4500000076,40,0000900007,1020,2,175.84,351.68
4500000077,10,0000900269,2000,33,44.49,1468.17
4500000077,20,0000900260,1000,12,18.47,221.64
4500000077,30,0000900087,1000,49,14.61,715.89
4500000078,10,0000900158,1020,49,10.97,537.53
4500000078,20,0000900218,2010,9,44.66,401.94
4500000079,10,0000900034,1000,34,28.59,972.06
4500000079,20,0000900175,2000,39,12.01,468.39
4500000079,30,0000900109,2000,49,4.09,200.41
4500000080,10,0000900201,1020,21,62.11,1304.31
4500000080,20,0000900120,1000,30,8.58,257.4
4500000081,10,0000900122,1020,37,19.68,728.16
4500000082,10,0000900182,2010,37,78.31,2897.47
4500000082,20,0000900250,2010,49,41.08,2012.92
4500000083,10,0000900243,1010,29,35.47,1028.63
4500000084,10,0000900087,1000,23,14.38,330.74
4500000085,10,0000900249,1020,49,6.18,302.82
4500000086,10,0000900261,1020,15,11.55,173.25
4500000086,20,0000900132,2010,48,19.34,928.32
4500000086,30,0000900094,2010,39,7.4,288.6
4500000087,10,0000900223,1020,33,52.19,1722.27
4500000088,10,0000900279,2000,8,8.62,68.96
4500000088,20,0000900263,1000,34,11.94,405.96
4500000089,10,0000900016,1010,24,15.22,365.28
4500000089,20,0000900137,1000,19,32.81,623.39
4500000089,30,0000900042,2000,13,13.38,173.94
4500000089,40,0000900051,1000,11,13.44,147.84
4500000090,10,0000900217,1010,45,14.59,656.55
4500000090,20,0000900145,1020,37,5.51,203.87
4500000090,30,0000900022,1010,23,3.38,77.74
4500000091,10,0000900191,2000,15,89.11,1336.65
4500000091,20,0000900037,1000,44,8.91,392.04
4500000091,30,0000900000,1000,39,8.24,321.36
4500000092,10,0000900136,1010,19,13.41,254.79
4500000092,20,0000900112,1010,36,26.07,938.52
4500000092,30,0000900076,1020,40,47.42,1896.8
4500000093,10,0000900250,2010,45,45.56,2050.2
4500000094,10,0000900277,2000,49,24.61,1205.89
4500000094,20,0000900093,2010,7,14.52,101.64
4500000095,10,0000900094,2010,27,7.62,205.74
4500000095,20,0000900185,1020,22,17.35,381.7
4500000096,10,0000900202,2010,41,14.18,581.38
4500000096,20,0000900122,1020,29,17.76,515.04
4500000096,30,0000900228,2000,6,8.03,48.18
4500000097,10,0000900276,1010,20,13.2,264.0
4500000097,20,0000900244,1020,1,77.47,77.47
4500000098,10,0000900150,1010,39,35.42,1381.38
4500000098,20,0000900213,1010,47,6.86,322.42
4500000099,10,0000900254,2000,49,27.35,1340.15
4500000099,20,0000900202,2010,20,14.94,298.8
4500000099,30,0000900073,1000,22,22.09,485.98
4500000099,40,0000900014,2000,18,2.5,45.0
4500000100,10,0000900182,2010,19,82.62,1569.78
4500000100,20,0000900233,1000,38,8.94,339.72
4500000100,30,0000900066,1010,5,11.51,57.55
4500000100,40,0000900192,1000,16,9.42,150.72
4500000101,10,0000900148,2000,11,7.07,77.77
4500000102,10,0000900107,1000,49,2.67,130.83
4500000102,20,0000900064,2000,3,6.39,19.17
4500000102,30,0000900172,2000,26,6.74,175.24
4500000102,40,0000900127,1000,28,165.53,4634.84
4500000103,10,0000900114,2000,14,4.7,65.8
4500000103,20,0000900109,2000,22,4.08,89.76
4500000103,30,0000900266,1000,23,98.34,2261.82
4500000103,40,0000900087,1000,40,15.22,608.8
4500000104,10,0000900175,2000,29,12.13,351.77
4500000105,10,0000900279,2000,33,9.74,321.42
4500000105,20,0000900230,1010,45,1.61,72.45
4500000105,30,0000900052,1000,33,12.29,405.57
4500000105,40,0000900289,2010,15,68.57,1028.55
4500000106,10,0000900236,1000,10,37.42,374.2
4500000107,10,0000900131,2010,26,35.35,919.1
4500000108,10,0000900090,2000,9,20.67,186.03
4500000108,20,0000900244,1020,4,80.18,320.72
4500000108,30,0000900075,1000,16,46.8,748.8
4500000108,40,0000900125,2000,18,6.06,109.08
4500000109,10,0000900121,2010,32,14.2,454.4
4500000109,20,0000900197,2010,11,7.56,83.16
4500000109,30,0000900120,1000,27,8.03,216.81
4500000109,40,0000900198,2010,37,21.23,785.51
4500000110,10,0000900094,2010,21,7.05,148.05
4500000111,10,0000900260,1000,32,16.47,527.04
4500000111,20,0000900054,1010,42,3.49,146.58
4500000111,30,0000900161,1010,23,58.11,1336.53
4500000112,10,0000900074,2000,4,10.02,40.08
4500000113,10,0000900086,1020,39,14.68,572.52
4500000113,20,0000900040,2000,38,31.0,1178.0
4500000113,30,0000900169,2010,10,25.74,257.4
4500000114,10,0000900172,2000,45,6.77,304.65
4500000114,20,0000900231,2010,26,69.6,1809.6
4500000114,30,0000900098,1010,48,23.24,1115.52
4500000115,10,0000900028,1010,1,7.37,7.37
4500000115,20,0000900267,1000,7,15.67,109.69
4500000115,30,0000900156,1010,20,27.37,547.4
4500000116,10,0000900214,2000,40,140.24,5609.6
4500000116,20,0000900174,2000,33,10.59,349.47
4500000116,30,0000900156,1010,25,26.76,669.0
4500000116,40,0000900024,1020,49,18.14,888.86
4500000117,10,0000900200,2010,4,10.21,40.84
4500000118,10,0000900218,2010,8,50.6,404.8
4500000118,20,0000900065,1000,38,16.79,638.02
4500000118,30,0000900259,1020,6,6.46,38.76
4500000119,10,0000900045,1000,14,9.34,130.76
4500000119,20,0000900130,1020,9,143.36,1290.24
4500000119,30,0000900006,2000,14,7.28,101.92
4500000119,40,0000900124,1000,19,72.35,1374.65
4500000120,10,0000900263,1000,4,11.45,45.8
4500000120,20,0000900124,1000,35,72.09,2523.15
4500000121,10,0000900001,1000,1,42.01,42.01
4500000121,20,0000900175,2000,40,11.37,454.8
4500000122,10,0000900009,2000,31,43.33,1343.23
4500000122,20,0000900245,2000,11,45.67,502.37
4500000122,30,0000900253,1020,10,19.41,194.1
4500000123,10,0000900202,2010,19,15.0,285.0
4500000123,20,0000900058,1000,15,17.14,257.1
4500000123,30,0000900149,2000,16,11.55,184.8
4500000123,40,0000900007,1020,2,164.74,329.48
4500000124,10,0000900000,1000,48,8.4,403.2
4500000125,10,0000900233,1000,18,8.35,150.3
4500000125,20,0000900124,1000,13,73.28,952.64
4500000126,10,0000900074,2000,2,11.03,22.06
4500000126,20,0000900132,2010,31,18.78,582.18
4500000126,30,0000900237,1000,36,50.69,1824.84
4500000126,40,0000900059,2000,47,47.69,2241.43
4500000127,10,0000900134,1000,37,69.05,2554.85
4500000127,20,0000900080,1010,6,19.5,117.0
4500000128,10,0000900139,2010,36,290.99,10475.64
4500000128,20,0000900285,1020,9,1.4,12.6
4500000128,30,0000900026,1000,22,5.91,130.02
4500000129,10,0000900062,2000,38,25.38,964.44
4500000130,10,0000900017,1020,45,22.13,995.85
4500000130,20,0000900248,2010,10,24.65,246.5
4500000130,30,0000900144,1000,14,13.82,193.48
4500000130,40,0000900208,2000,30,20.79,623.7
4500000131,10,0000900019,1010,22,47.16,1037.52
4500000131,20,0000900093,2010,44,14.46,636.24
4500000131,30,0000900056,1020,49,24.81,1215.69
4500000132,10,0000900087,1000,22,15.96,351.12
4500000133,10,0000900225,1000,49,10.82,530.18
4500000134,10,0000900155,2000,14,96.36,1349.04
4500000134,20,0000900116,1010,22,32.55,716.1
4500000134,30,0000900065,1000,3,15.23,45.69
4500000135,10,0000900041,1020,21,164.12,3446.52
4500000135,20,0000900101,1010,33,111.48,3678.84
4500000136,10,0000900015,1020,1,152.79,152.79
4500000137,10,0000900240,2000,7,22.44,157.08
4500000137,20,0000900297,1020,49,3.48,170.52
4500000137,30,0000900109,2000,39,4.37,170.43
4500000137,40,0000900114,2000,15,4.27,64.05
4500000138,10,0000900042,2000,15,14.14,212.1
4500000138,20,0000900081,1000,45,24.27,1092.15
4500000138,30,0000900277,2000,15,24.14,362.1
4500000139,10,0000900204,1010,10,76.28,762.8
4500000140,10,0000900080,1010,11,16.72,183.92
4500000140,20,0000900034,1000,5,30.84,154.2
4500000141,10,0000900008,1010,41,14.79,606.39
4500000141,20,0000900266,1000,45,97.18,4373.1
4500000141,30,0000900029,2000,44,3.74,164.56
4500000141,40,0000900016,1010,20,15.3,306.0
4500000142,10,0000900295,1010,44,8.86,389.84
4500000143,10,0000900075,1000,46,47.38,2179.48
4500000144,10,0000900007,1020,34,175.19,5956.46
4500000144,20,0000900043,2000,48,123.5,5928.0
4500000145,10,0000900124,1000,30,68.81,2064.3
4500000146,10,0000900253,1020,49,18.95,928.55
4500000147,10,0000900268,1000,10,54.53,545.3
4500000147,20,0000900274,2010,36,4.21,151.56
4500000147,30,0000900231,2010,47,67.33,3164.51
4500000148,10,0000900104,2010,15,36.58,548.7
4500000148,20,0000900245,2000,20,43.77,875.4
4500000148,30,0000900088,2000,26,54.84,1425.84
4500000148,40,0000900071,1020,10,71.82,718.2
4500000149,10,0000900242,1010,40,141.33,5653.2
4500000149,20,0000900114,2000,30,4.28,128.4
4500000149,30,0000900183,1000,17,44.14,750.38
4500000149,40,0000900136,1010,3,12.26,36.78
4500000150,10,0000900160,2000,45,23.1,1039.5
4500000150,20,0000900203,1020,9,8.27,74.43
4500000150,30,0000900257,2000,26,68.01,1768.26
4500000151,10,0000900045,1000,48,9.57,459.36
4500000151,20,0000900276,1010,20,13.88,277.6
4500000151,30,0000900060,1010,3,21.84,65.52
4500000152,10,0000900273,2010,2,29.87,59.74
4500000153,10,0000900281,1000,42,11.9,499.8
4500000153,20,0000900274,2010,12,3.81,45.72
4500000153,30,0000900129,2000,30,322.96,9688.8
4500000154,10,0000900214,2000,49,151.68,7432.32
4500000155,10,0000900284,2010,1,6.06,6.06
4500000155,20,0000900147,2010,8,13.06,104.48
4500000155,30,0000900005,1020,44,84.82,3732.08
4500000156,10,0000900281,1000,19,11.33,215.27
4500000157,10,0000900058,1000,18,15.65,281.7
4500000157,20,0000900179,2010,27,55.23,1491.21
4500000158,10,0000900262,2010,19,8.19,155.61
4500000158,20,0000900090,2000,5,21.73,108.65
4500000158,30,0000900266,1000,4,97.06,388.24
4500000158,40,0000900062,2000,39,26.59,1037.01
4500000159,10,0000900209,1000,9,24.74,222.66
4500000159,20,0000900273,2010,43,27.75,1193.25
4500000159,30,0000900057,2010,38,78.44,2980.72
4500000160,10,0000900062,2000,8,25.03,200.24
4500000160,20,0000900049,1010,29,135.7,3935.3
4500000160,30,0000900122,1020,16,18.8,300.8
4500000161,10,0000900192,1000,45,9.66,434.7
4500000161,20,0000900018,1010,30,33.79,1013.7
4500000162,10,0000900156,1010,26,25.65,666.9
4500000162,20,0000900243,1010,49,38.83,1902.67
4500000163,10,0000900186,2010,46,22.06,1014.76
4500000163,20,0000900021,1010,27,42.27,1141.29
4500000164,10,0000900285,1020,29,1.3,37.7
4500000164,20,0000900053,1000,31,14.82,459.42
4500000165,10,0000900051,1000,29,13.05,378.45
4500000165,20,0000900011,2010,34,9.02,306.68
4500000165,30,0000900118,1000,22,34.18,751.96
4500000165,40,0000900147,2010,10,13.63,136.3
4500000166,10,0000900012,1010,15,41.31,619.65
4500000166,20,0000900182,2010,41,78.81,3231.21
4500000167,10,0000900168,2000,9,39.91,359.19
4500000167,20,0000900134,1000,1,72.44,72.44
4500000167,30,0000900208,2000,47,20.77,976.19
4500000167,40,0000900161,1010,36,61.57,2216.52
4500000168,10,0000900289,2010,48,76.88,3690.24
4500000169,10,0000900225,1000,11,9.51,104.61
4500000169,20,0000900242,1010,38,139.4,5297.2
4500000170,10,0000900204,1010,6,71.99,431.94
4500000170,20,0000900038,1020,3,9.47,28.41
4500000170,30,0000900226,1000,38,17.36,659.68
4500000170,40,0000900230,1010,29,1.79,51.91
4500000171,10,0000900126,1020,24,2.27,54.48
4500000171,20,0000900185,1020,25,16.67,416.75
4500000171,30,0000900183,1000,21,46.1,968.1
4500000172,10,0000900042,2000,43,13.34,573.62
4500000172,20,0000900180,2010,34,8.48,288.32
4500000173,10,0000900277,2000,3,23.72,71.16
4500000173,20,0000900113,1010,48,2.56,122.88
4500000173,30,0000900009,2000,31,43.81,1358.11
4500000174,10,0000900207,1010,31,15.62,484.22
4500000174,20,0000900165,1000,31,28.09,870.79
4500000174,30,0000900138,1010,41,33.79,1385.39
4500000175,10,0000900014,2000,46,2.63,120.98
4500000176,10,0000900257,2000,44,74.23,3266.12
4500000176,20,0000900069,1020,27,14.78,399.06
4500000176,30,0000900141,1020,34,38.43,1306.62
4500000177,10,0000900048,1010,13,82.43,1071.59
4500000177,20,0000900247,1020,23,46.36,1066.28
4500000177,30,0000900122,1020,40,19.98,799.2
4500000178,10,0000900291,2000,46,20.22,930.12
4500000179,10,0000900006,2000,20,7.2,144.0
4500000179,20,0000900109,2000,6,4.22,25.32
4500000179,30,0000900074,2000,10,10.52,105.2
4500000180,10,0000900032,2010,48,35.95,1725.6
4500000180,20,0000900235,1000,5,90.13,450.65
4500000181,10,0000900195,1000,34,7.56,257.04
4500000181,20,0000900070,1010,34,47.81,1625.54
4500000181,30,0000900176,2010,16,40.12,641.92
4500000182,10,0000900116,1010,23,35.91,825.93
4500000183,10,0000900153,1010,13,3.49,45.37
4500000183,20,0000900116,1010,16,30.96,495.36
4500000184,10,0000900025,2010,45,89.28,4017.6
4500000184,20,0000900038,1020,34,9.32,316.88
4500000184,30,0000900229,1010,8,2.85,22.8
4500000185,10,0000900283,1000,12,15.35,184.2
4500000186,10,0000900198,2010,35,20.58,720.3
4500000186,20,0000900184,2000,37,19.45,719.65
4500000186,30,0000900063,1010,39,27.53,1073.67
4500000187,10,0000900055,2010,18,6.17,111.06
4500000187,20,0000900111,1020,13,25.86,336.18
4500000187,30,0000900182,2010,27,83.66,2258.82
4500000187,40,0000900165,1000,10,28.88,288.8
4500000188,10,0000900172,2000,15,6.45,96.75
4500000188,20,0000900054,1010,13,3.53,45.89
4500000188,30,0000900182,2010,27,85.25,2301.75
4500000188,40,0000900140,1020,31,3.96,122.76
4500000189,10,0000900079,1010,29,51.33,1488.57
4500000189,20,0000900005,1020,27,79.58,2148.66
4500000190,10,0000900057,2010,42,81.93,3441.06
4500000190,20,0000900205,1020,22,29.26,643.72
4500000191,10,0000900022,1010,49,3.34,163.66
4500000191,20,0000900141,1020,21,39.7,833.7
4500000192,10,0000900176,2010,26,37.24,968.24
4500000193,10,0000900118,1000,30,35.41,1062.3
4500000193,20,0000900206,1010,29,107.05,3104.45
4500000193,30,0000900224,1010,12,1.2,14.4
4500000194,10,0000900243,1010,46,36.45,1676.7
4500000195,10,0000900247,1020,5,41.77,208.85
4500000195,20,0000900109,2000,31,4.24,131.44
4500000196,10,0000900103,2000,42,18.98,797.16
4500000196,20,0000900019,1010,9,49.6,446.4
4500000197,10,0000900012,1010,19,44.36,842.84
4500000197,20,0000900103,2000,43,17.52,753.36
4500000197,30,0000900176,2010,18,34.77,625.86
4500000198,10,0000900015,1020,32,160.62,5139.84
4500000198,20,0000900131,2010,13,35.5,461.5
4500000199,10,0000900169,2010,44,27.82,1224.08
4500000200,10,0000900049,1010,13,148.32,1928.16
4500000200,20,0000900184,2000,49,20.54,1006.46
4500000201,10,0000900107,1000,4,2.78,11.12
4500000201,20,0000900282,1020,38,29.02,1102.76
4500000202,10,0000900173,2000,35,17.19,601.65
4500000202,20,0000900159,1010,45,5.79,260.55
4500000203,10,0000900064,2000,33,6.82,225.06
4500000203,20,0000900026,1000,17,5.85,99.45
4500000203,30,0000900097,1020,14,130.87,1832.18
4500000204,10,0000900093,2010,43,14.2,610.6
4500000204,20,0000900040,2000,1,28.24,28.24
4500000205,10,0000900039,1000,41,481.6,19745.6
4500000205,20,0000900244,1020,1,82.51,82.51
4500000206,10,0000900179,2010,31,60.11,1863.41
4500000206,20,0000900014,2000,16,2.42,38.72
4500000207,10,0000900256,2000,17,13.8,234.6
4500000207,20,0000900168,2000,9,42.99,386.91
4500000207,30,0000900094,2010,22,6.58,144.76
4500000207,40,0000900052,1000,2,13.44,26.88
4500000208,10,0000900115,2000,39,39.33,1533.87
4500000209,10,0000900055,2010,14,5.75,80.5
4500000210,10,0000900024,1020,36,18.69,672.84
4500000210,20,0000900171,2010,27,4.33,116.91
4500000211,10,0000900295,1010,23,8.28,190.44
4500000211,20,0000900024,1020,18,20.2,363.6
4500000211,30,0000900084,1000,8,8.62,68.96
4500000212,10,0000900030,1020,19,3.64,69.16
4500000212,20,0000900138,1010,27,30.13,813.51
4500000213,10,0000900023,2000,33,5.83,192.39
4500000213,20,0000900223,1020,25,54.61,1365.25
4500000213,30,0000900086,1020,43,13.96,600.28
4500000213,40,0000900148,2000,48,6.88,330.24
4500000214,10,0000900098,1010,21,23.03,483.63
4500000214,20,0000900203,1020,27,9.34,252.18
4500000214,30,0000900080,1010,41,19.38,794.58
4500000215,10,0000900019,1010,42,52.5,2205.0
4500000215,20,0000900185,1020,30,15.24,457.2
4500000215,30,0000900034,1000,16,27.29,436.64
4500000216,10,0000900154,2010,47,11.33,532.51
4500000216,20,0000900189,1020,43,29.08,1250.44
4500000216,30,0000900179,2010,29,56.65,1642.85
4500000217,10,0000900075,1000,46,51.62,2374.52
4500000217,20,0000900202,2010,44,15.26,671.44
4500000218,10,0000900065,1000,34,15.41,523.94
4500000218,20,0000900163,1020,49,33.48,1640.52
4500000218,30,0000900118,1000,38,37.34,1418.92
4500000219,10,0000900252,1000,32,27.35,875.2
4500000220,10,0000900191,2000,22,86.29,1898.38
4500000220,20,0000900221,2010,43,67.03,2882.29
4500000221,10,0000900101,1010,36,115.48,4157.28
4500000221,20,0000900213,1010,46,6.57,302.22
4500000221,30,0000900212,2000,1,15.71,15.71
4500000222,10,0000900236,1000,33,36.33,1198.89
4500000223,10,0000900065,1000,2,16.45,32.9
4500000223,20,0000900269,2000,25,46.4,1160.0
4500000223,30,0000900156,1010,45,28.01,1260.45
4500000224,10,0000900035,2010,31,17.18,532.58
4500000224,20,0000900116,1010,26,31.37,815.62
4500000224,30,0000900062,2000,44,26.2,1152.8
4500000224,40,0000900162,2000,15,185.95,2789.25
4500000225,10,0000900262,2010,1,8.05,8.05
4500000225,20,0000900246,1010,31,90.15,2794.65
4500000225,30,0000900243,1010,42,35.63,1496.46
4500000226,10,0000900007,1020,40,155.26,6210.4
4500000226,20,0000900180,2010,33,8.5,280.5
4500000226,30,0000900122,1020,2,19.29,38.58
